date,close,ema_20,ema_50,ema_200,bull_regime,bear_regime,neutral_regime,regime
2024-09-04,25198.69921875,,,,False,False,True,NEUTRAL
2024-09-05,25145.099609375,,,,False,False,True,NEUTRAL
2024-09-06,24852.150390625,,,,False,False,True,NEUTRAL
2024-09-09,24936.400390625,,,,False,False,True,NEUTRAL
2024-09-10,25041.099609375,,,,False,False,True,NEUTRAL
2024-09-11,24918.44921875,,,,False,False,True,NEUTRAL
2024-09-12,25388.900390625,,,,False,False,True,NEUTRAL
2024-09-13,25356.5,,,,False,False,True,NEUTRAL
2024-09-16,25383.75,,,,False,False,True,NEUTRAL
2024-09-17,25418.55078125,,,,False,False,True,NEUTRAL
2024-09-18,25377.55078125,,,,False,False,True,NEUTRAL
2024-09-19,25415.80078125,,,,False,False,True,NEUTRAL
2024-09-20,25790.94921875,,,,False,False,True,NEUTRAL
2024-09-23,25939.05078125,,,,False,False,True,NEUTRAL
2024-09-24,25940.400390625,,,,False,False,True,NEUTRAL
2024-09-25,26004.150390625,,,,False,False,True,NEUTRAL
2024-09-26,26216.05078125,,,,False,False,True,NEUTRAL
2024-09-27,26178.94921875,,,,False,False,True,NEUTRAL
2024-09-30,25810.849609375,,,,False,False,True,NEUTRAL
2024-10-01,25796.900390625,25634.8961774948,,,False,False,True,NEUTRAL
2024-10-03,25250.099609375,25598.248885292916,,,False,False,True,NEUTRAL
2024-10-04,25014.599609375,25542.6632399674,,,False,False,True,NEUTRAL
2024-10-07,24795.75,25471.528645684793,,,False,False,True,NEUTRAL
2024-10-08,25013.150390625,25427.873573774337,,,False,False,True,NEUTRAL
2024-10-09,24981.94921875,25385.404587581543,,,False,False,True,NEUTRAL
2024-10-10,24998.44921875,25348.55169531187,,,False,False,True,NEUTRAL
2024-10-11,24964.25,25311.951533853597,,,False,False,True,NEUTRAL
2024-10-14,25127.94921875,25294.42750384373,,,False,False,True,NEUTRAL
2024-10-15,25057.349609375,25271.84865675147,,,False,False,True,NEUTRAL
2024-10-16,24971.30078125,25243.225049560853,,,False,False,True,NEUTRAL
2024-10-17,24749.849609375,25196.236912400298,,,False,False,True,NEUTRAL
2024-10-18,24854.05078125,25163.647757052648,,,False,False,True,NEUTRAL
2024-10-21,24781.099609375,25127.214600130967,,,False,False,True,NEUTRAL
2024-10-22,24472.099609375,25064.822696249445,,,False,False,True,NEUTRAL
2024-10-23,24435.5,25004.887201368547,,,False,False,True,NEUTRAL
2024-10-24,24399.400390625,24947.221790821543,,,False,False,True,NEUTRAL
2024-10-25,24180.80078125,24874.22931371949,,,False,False,True,NEUTRAL
2024-10-28,24339.150390625,24823.26941628192,,,False,False,True,NEUTRAL
2024-10-29,24466.849609375,24789.324672766976,,,False,False,True,NEUTRAL
2024-10-30,24340.849609375,24746.61276196774,,,False,False,True,NEUTRAL
2024-10-31,24205.349609375,24695.063890292244,,,False,False,True,NEUTRAL
2024-11-01,24304.349609375,24657.853006395362,,,False,False,True,NEUTRAL
2024-11-04,23995.349609375,24594.757444774375,,,False,False,True,NEUTRAL
2024-11-05,24213.30078125,24558.428238724435,,,False,False,True,NEUTRAL
2024-11-06,24484.05078125,24551.34467134592,,,False,False,True,NEUTRAL
2024-11-07,24199.349609375,24517.821332110594,,,False,False,True,NEUTRAL
2024-11-08,24148.19921875,24482.61922607625,,,False,False,True,NEUTRAL
2024-11-11,24141.30078125,24450.11270752137,,,False,False,True,NEUTRAL
2024-11-12,23883.44921875,24396.14475620981,,,False,False,True,NEUTRAL
2024-11-13,23559.05078125,24316.421520499352,24714.74053463646,,False,False,True,NEUTRAL
2024-11-14,23532.69921875,24241.78130128513,24668.38597322915,,False,False,True,NEUTRAL
2024-11-18,23453.80078125,24166.73553747226,24620.75518138683,,False,False,True,NEUTRAL
2024-11-19,23518.5,24104.99881961776,24577.529487999112,,False,False,True,NEUTRAL
2024-11-21,23349.900390625,24033.08468352321,24529.38717045503,,False,False,True,NEUTRAL
2024-11-22,23907.25,24021.100427949576,24504.989634358753,,False,False,True,NEUTRAL
2024-11-25,24221.900390625,24040.224233918663,24493.8880953888,,False,False,True,NEUTRAL
2024-11-26,24194.5,24054.91716402165,24482.147385765707,,False,False,True,NEUTRAL
2024-11-27,24274.900390625,24075.867947507682,24474.02005262294,,False,False,True,NEUTRAL
2024-11-28,23914.150390625,24060.46627542362,24452.064379603413,,False,False,True,NEUTRAL
2024-11-29,24131.099609375,24067.193259609467,24439.477525868966,,False,False,True,NEUTRAL
2024-12-02,24276.05078125,24087.08445214666,24433.068633923125,,False,False,True,NEUTRAL
2024-12-03,24457.150390625,24122.32882723984,24434.013016538887,,False,False,True,NEUTRAL
2024-12-04,24467.44921875,24155.197435955095,24435.32424015501,,False,False,True,NEUTRAL
2024-12-05,24708.400390625,24207.883431637943,24446.03310880089,,False,False,True,NEUTRAL
2024-12-06,24677.80078125,24252.63746493433,24455.122037132227,,False,False,True,NEUTRAL
2024-12-09,24619.0,24287.529134940585,24461.548623911356,,False,False,True,NEUTRAL
2024-12-10,24610.05078125,24318.24548220815,24467.372237924636,,False,False,True,NEUTRAL
2024-12-11,24641.80078125,24349.060272593088,24474.212572957003,,False,False,True,NEUTRAL
2024-12-12,24548.69921875,24368.073505560413,24477.133617890064,,False,False,True,NEUTRAL
2024-12-13,24768.30078125,24406.19038895942,24488.551938021825,,False,False,True,NEUTRAL
2024-12-16,24668.25,24431.148447153762,24495.5989208445,,False,False,True,NEUTRAL
2024-12-17,24336.0,24422.086690281976,24489.340139634915,,False,False,True,NEUTRAL
2024-12-18,24198.849609375,24400.826015909883,24477.948354134525,,False,False,True,NEUTRAL
2024-12-19,23951.69921875,24358.05203522799,24457.311133139057,,False,False,True,NEUTRAL
2024-12-20,23587.5,24284.66612711104,24423.2008926238,,False,False,True,NEUTRAL
2024-12-23,23753.44921875,24234.074040600466,24396.936121099337,,False,False,True,NEUTRAL
2024-12-24,23727.650390625,24185.84321679328,24370.68962186505,,False,False,True,NEUTRAL
2024-12-26,23750.19921875,24144.353312217732,24346.35666488015,,False,False,True,NEUTRAL
2024-12-27,23813.400390625,24112.833986351758,24325.456418830927,,False,False,True,NEUTRAL
2024-12-30,23644.900390625,24068.268881996828,24298.767947136577,,False,False,True,NEUTRAL
2024-12-31,23644.80078125,24027.938586687607,24273.12217592534,,False,False,True,NEUTRAL
2025-01-01,23742.900390625,24000.7920918245,24252.32916473709,,False,False,True,NEUTRAL
2025-01-02,24188.650390625,24018.683358376926,24249.831957909166,,False,False,True,NEUTRAL
2025-01-03,24004.75,24017.35637186484,24240.220900736258,,False,False,True,NEUTRAL
2025-01-06,23616.05078125,23979.136791806286,24215.74364114856,,False,False,True,NEUTRAL
2025-01-07,23707.900390625,23953.304753598542,24195.8282195594,,False,False,True,NEUTRAL
2025-01-08,23688.94921875,23928.12803599392,24175.950611684522,,False,False,True,NEUTRAL
2025-01-09,23526.5,23889.877746851642,24150.481960245914,,False,False,True,NEUTRAL
2025-01-10,23431.5,23846.22272334196,24122.286589255877,,False,False,True,NEUTRAL
2025-01-13,23085.94921875,23773.81572290463,24081.64590805957,,False,False,True,NEUTRAL
2025-01-14,23176.05078125,23716.885728461333,24046.132373674882,,False,False,True,NEUTRAL
2025-01-15,23213.19921875,23668.915584679304,24013.46832838371,,False,False,True,NEUTRAL
2025-01-16,23311.80078125,23634.90465101937,23985.951953986314,,False,False,True,NEUTRAL
2025-01-17,23203.19921875,23593.789847946096,23955.25576829077,,False,False,True,NEUTRAL
2025-01-20,23344.75,23570.071767189325,23931.314365612703,,False,False,True,NEUTRAL
2025-01-21,23024.650390625,23518.1268741832,23895.758915613187,,False,False,True,NEUTRAL
2025-01-22,23155.349609375,23483.57665848718,23866.72325654502,,False,False,True,NEUTRAL
2025-01-23,23205.349609375,23457.07884428602,23840.787035087375,,False,False,True,NEUTRAL
2025-01-24,23092.19921875,23422.328403758784,23811.430650132967,,False,False,True,NEUTRAL
2025-01-27,22829.150390625,23365.8352596508,23772.909855642458,,False,False,True,NEUTRAL
2025-01-28,22957.25,23326.922377779298,23740.92319463687,,False,False,True,NEUTRAL
2025-01-29,23163.099609375,23311.32020935984,23718.26344619523,,False,False,True,NEUTRAL
2025-01-30,23249.5,23305.43257037319,23699.88056595228,,False,False,True,NEUTRAL
