variant,filter,trades,wins,losses,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days
CURRENT,ALL_TRADES,334,128,206,38.32335329341318,0.026491066155156808,1.016552567044629,-10.099602381198181,-47.80276226095251,3.2724550898203595
CURRENT,NO_NEUTRAL,250,98,152,39.2,0.15644725475466442,1.0993256862102092,27.055704799933288,-33.68882372395543,3.328
CURRENT,BEAR_ONLY,133,52,81,39.097744360902254,0.1540343020276204,1.095441705891794,12.950567668557266,-25.578997764159915,2.9097744360902253
CURRENT,BULL_BEAR_SHORT_ONLY,132,58,74,43.93939393939394,0.5638979385289379,1.3891733264419914,92.98872527434301,-25.578997764159894,3.4318181818181817
CURRENT,BULL_SHORT_BEAR_BOTH,190,77,113,40.526315789473685,0.29402045605830696,1.1896177445290126,55.007513262658335,-27.551154323409666,3.236842105263158
CURRENT,BULL_BOTH_BEAR_SHORT,192,79,113,41.14583333333333,0.30042945272608107,1.1986150354238714,58.187935488152576,-33.68882372395543,3.4895833333333335
CURRENT,BULL_SHORT_BEAR_LONG,115,44,71,38.26086956521739,0.1461450717101159,1.0916828962891572,10.226277943504524,-27.912758343902254,3.391304347826087
CURRENT,BULL_LONG_BEAR_BOTH,193,73,120,37.82383419689119,0.019349685011716387,1.011900470104513,-7.4173007448776085,-44.61514426213091,3.1295336787564767
LONG_RSI_ZONE,ALL_TRADES,281,109,172,38.79003558718861,0.08833498897150129,1.055850302837975,8.49860720224851,-46.56579274942334,3.2455516014234878
LONG_RSI_ZONE,NO_NEUTRAL,213,87,126,40.845070422535215,0.3266302025577731,1.2141518265841817,75.34044868760017,-40.50567423110712,3.2582159624413145
LONG_RSI_ZONE,BEAR_ONLY,114,47,67,41.228070175438596,0.32736037644917865,1.210189146241658,34.94570243163702,-23.553156408998376,2.8684210526315788
LONG_RSI_ZONE,BULL_BEAR_SHORT_ONLY,132,58,74,43.93939393939394,0.5638979385289379,1.3891733264419914,92.98872527434301,-25.578997764159894,3.4318181818181817
LONG_RSI_ZONE,BULL_SHORT_BEAR_BOTH,171,72,99,42.10526315789473,0.42512518945386646,1.2823016960515343,85.19249784375951,-25.578997764159894,3.245614035087719
LONG_RSI_ZONE,BULL_BOTH_BEAR_SHORT,174,73,101,41.95402298850575,0.4098296185862892,1.2757304721227438,82.7219248902828,-40.50567423110712,3.4022988505747125
LONG_RSI_ZONE,BULL_SHORT_BEAR_LONG,96,39,57,40.625,0.3504083749187102,1.2300695741088445,31.69090523882163,-23.7307911191291,3.4375
LONG_RSI_ZONE,BULL_LONG_BEAR_BOTH,156,62,94,39.743589743589745,0.2191981324576979,1.1396222170436074,27.766730771075476,-33.74158135528808,2.9871794871794872
EMA_MACD,ALL_TRADES,488,197,291,40.36885245901639,0.14091584209682953,1.0913405417274127,49.52326203470865,-52.91070604386843,3.473360655737705
EMA_MACD,NO_NEUTRAL,361,151,210,41.82825484764543,0.2571334652724808,1.169059579032859,103.29104572099314,-51.6032444215491,3.5373961218836567
EMA_MACD,BEAR_ONLY,176,74,102,42.04545454545455,0.4490814563718402,1.2924096793246178,95.91920350201777,-35.97535285713288,3.0681818181818183
EMA_MACD,BULL_BEAR_SHORT_ONLY,189,86,103,45.5026455026455,0.5049198173803537,1.3538270109190054,130.71572056023575,-30.71724138122822,3.931216931216931
EMA_MACD,BULL_SHORT_BEAR_BOTH,277,123,154,44.4043321299639,0.4842025994735863,1.3312871222758538,220.39902554685523,-35.97535285713287,3.631768953068592
EMA_MACD,BULL_BOTH_BEAR_SHORT,273,114,159,41.75824175824176,0.19828170840318338,1.1307769291058647,46.38758659427877,-51.6032444215491,3.7142857142857144
EMA_MACD,BULL_SHORT_BEAR_LONG,189,86,103,45.5026455026455,0.4961907846668572,1.3477100643328022,127.10577558691169,-30.717241381228234,3.857142857142857
EMA_MACD,BULL_LONG_BEAR_BOTH,260,102,158,39.23076923076923,0.1451515278101003,1.091045756913503,24.309428497075245,-55.80098371729846,3.1192307692307693
