variant,periods_with_trades,profitable_periods,pf_above_1_periods,profitable_period_pct,avg_pf,median_pf,avg_net_pct,median_net_pct,total_trades
CURRENT,4,3,3,75.0,1.0240967616384518,1.0997071621063848,0.029868013138145966,0.15502198483502172,330
LONG_RSI_ZONE,4,2,2,50.0,1.0360108876521148,1.0524610856214425,0.012331648851354123,0.08331119963749861,277
EMA_MACD,4,2,2,50.0,1.0833485519579147,1.1029921898594366,0.11793568898581414,0.1579058495941152,486
