exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
BSE,STOCK,CGCL,Capri Global Capital,,531595.0,A,CGCL.BO,271.75,672433.9,PASS,PASS
BSE,STOCK,KALYANKJIL,Kalyan Jewellers,,543278.0,A,KALYANKJIL.BO,585.5,652114.8,PASS,PASS
BSE,STOCK,IXIGO,Le Travenues Technology (IXIGO),,544192.0,A,IXIGO.BO,162.1999969482422,628184.5,PASS,PASS
BSE,STOCK,ICICIPRULI,ICICI Prudential Life Insurance,,540133.0,A,ICICIPRULI.BO,494.8999938964844,625262.35,PASS,PASS
BSE,STOCK,ASTERDM,Aster DM Quality Care,,540975.0,A,ASTERDM.BO,786.9000244140625,599268.95,PASS,PASS
BSE,STOCK,WELSPUNLIV,Welspun Living,,514162.0,A,WELSPUNLIV.BO,200.6499938964844,590651.2,PASS,PASS
NSE,STOCK,LUMINO,Lumino Industries Limited,INE185Q01025,,EQ,LUMINO.NS,114.5,158692789.0,PASS,PASS
NSE,STOCK,IFCI,IFCI Limited,INE039A01010,,EQ,IFCI.NS,101.37999725341795,83513020.05,PASS,PASS
NSE,STOCK,GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,,EQ,GROWW.NS,194.0,48181140.55,PASS,PASS
NSE,STOCK,SHIPROCKET,Shiprocket Limited,INE0FOO01011,,EQ,SHIPROCKET.NS,135.9199981689453,43329285.0,PASS,PASS
NSE,STOCK,ETERNAL,ETERNAL LIMITED,INE758T01015,,EQ,ETERNAL.NS,322.75,37551384.6,PASS,PASS
NSE,STOCK,MILKYMIST,Milky Mist Dairy Food Limited,INE00IT01020,,EQ,MILKYMIST.NS,252.42999267578125,35250084.928571425,PASS,PASS
NSE,STOCK,ZEEL,Zee Entertainment Enterprises Limited,INE256A01028,,EQ,ZEEL.NS,91.61000061035156,34575384.85,PASS,PASS
NSE,STOCK,TATASTEEL,Tata Steel Limited,INE081A01020,,EQ,TATASTEEL.NS,188.7899932861328,27821449.8,PASS,PASS
NSE,STOCK,MOREPENLAB,Morepen Laboratories Limited,INE083A01026,,EQ,MOREPENLAB.NS,113.73999786376952,26915451.9,PASS,PASS
NSE,STOCK,HDFCBANK,HDFC Bank Limited,INE040A01034,,EQ,HDFCBANK.NS,712.0999755859375,26744390.85,PASS,PASS
NSE,STOCK,LALITHAA,Lalithaa Jewellery Mart Limited,INE0K9O01026,,EQ,LALITHAA.NS,306.70001220703125,26732898.3,PASS,PASS
NSE,STOCK,SAIL,Steel Authority of India Limited,INE114A01011,,EQ,SAIL.NS,196.8000030517578,25976358.65,PASS,PASS
NSE,STOCK,CUPID,Cupid Limited,INE509F01029,,EQ,CUPID.NS,283.1499938964844,25700065.8,PASS,PASS
NSE,STOCK,JINDWORLD,Jindal Worldwide Limited,INE247D01039,,EQ,JINDWORLD.NS,57.5099983215332,24787569.2,PASS,PASS
NSE,STOCK,SKYWAYS,Skyways Air Services Limited,INE0PX301025,,EQ,SKYWAYS.NS,122.72000122070312,23020552.0,PASS,PASS
NSE,STOCK,SWIGGY,Swiggy Limited,INE00H001014,,EQ,SWIGGY.NS,276.1000061035156,21936690.0,PASS,PASS
NSE,STOCK,ADANIPOWER,Adani Power Limited,INE814H01029,,EQ,ADANIPOWER.NS,207.1999969482422,20416073.25,PASS,PASS
NSE,STOCK,PINELABS,Pine Labs Limited,INE15B701018,,EQ,PINELABS.NS,166.3699951171875,19990563.6,PASS,PASS
NSE,STOCK,PWL,Physicswallah Limited,INE0LP301011,,EQ,PWL.NS,126.41999816894533,18849417.8,PASS,PASS
NSE,STOCK,NMDC,NMDC Limited,INE584A01023,,EQ,NMDC.NS,84.69999694824219,18559158.85,PASS,PASS
NSE,STOCK,HFCL,HFCL Limited,INE548A01028,,BE,HFCL.NS,220.4199981689453,17528196.75,PASS,PASS
NSE,STOCK,VMM,Vishal Mega Mart Limited,INE01EA01019,,EQ,VMM.NS,106.13999938964844,17237882.9,PASS,PASS
NSE,STOCK,SHANKESH,Shankesh Jewellers Limited,INE1WFC01025,,EQ,SHANKESH.NS,98.91999816894533,17003014.666666668,PASS,PASS
NSE,STOCK,HINDCOPPER,Hindustan Copper Limited,INE531E01026,,EQ,HINDCOPPER.NS,521.6500244140625,16878227.85,PASS,PASS
NSE,STOCK,LEAPIND,LEAP India Limited,INE00GO01025,,EQ,LEAPIND.NS,150.25999450683594,16782215.6875,PASS,PASS
NSE,STOCK,MAHABANK,Bank of Maharashtra,INE457A01014,,EQ,MAHABANK.NS,85.94999694824219,16381963.4,PASS,PASS
NSE,STOCK,HORIZONIND,Horizon Industrial Parks Limited,INE685T01010,,EQ,HORIZONIND.NS,55.130001068115234,15917038.8,PASS,PASS
NSE,STOCK,ESDS,ESDS Software Solution Limited,INE0DRI01029,,EQ,ESDS.NS,908.4000244140624,15790052.0,PASS,PASS
NSE,STOCK,ASHOKLEY,Ashok Leyland Limited,INE208A01029,,EQ,ASHOKLEY.NS,169.0,15715516.8,PASS,PASS
NSE,STOCK,URBANCO,Urban Company Limited,INE0CAZ01013,,EQ,URBANCO.NS,181.08999633789065,15586038.85,PASS,PASS
NSE,STOCK,INOXWIND,Inox Wind Limited,INE066P01011,,EQ,INOXWIND.NS,74.4000015258789,15250400.9,PASS,PASS
NSE,STOCK,TEMPSENS,Tempsens Instruments (India) Limited,INE1KZI01025,,EQ,TEMPSENS.NS,554.7999877929688,15228841.5,PASS,PASS
NSE,STOCK,ARDEE,Ardee Industries Limited,INE0XNF01022,,EQ,ARDEE.NS,55.65999984741211,15132997.388888888,PASS,PASS
NSE,STOCK,FCL,Fineotex Chemical Limited,INE045J01034,,EQ,FCL.NS,51.5099983215332,14882900.7,PASS,PASS
NSE,STOCK,UJJIVANSFB,Ujjivan Small Finance Bank Limited,INE551W01018,,EQ,UJJIVANSFB.NS,64.43000030517578,14874638.85,PASS,PASS
NSE,STOCK,MEESHO,Meesho Limited,INE0VDM01015,,EQ,MEESHO.NS,209.0,14790917.55,PASS,PASS
NSE,STOCK,LENSKART,Lenskart Solutions Limited,INE956O01016,,EQ,LENSKART.NS,672.4500122070312,14629269.6,PASS,PASS
NSE,STOCK,TFCILTD,Tourism Finance Corporation of India Limited,INE305A01023,,EQ,TFCILTD.NS,143.25999450683594,14589086.75,PASS,PASS
NSE,STOCK,ITC,ITC Limited,INE154A01025,,EQ,ITC.NS,264.1000061035156,14097168.8,PASS,PASS
NSE,STOCK,IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,,EQ,IDFCFIRSTB.NS,86.70999908447266,13931522.65,PASS,PASS
NSE,STOCK,PNB,Punjab National Bank,INE160A01022,,EQ,PNB.NS,117.0,13673443.25,PASS,PASS
NSE,STOCK,GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,,EQ,GMRAIRPORT.NS,97.4499969482422,13487501.85,PASS,PASS
NSE,STOCK,SYMBIOTEC,Symbiotec Pharmalab Limited,INE899I01028,,EQ,SYMBIOTEC.NS,1076.8499755859375,13340793.0,PASS,PASS
NSE,STOCK,GAJA,Gaja Alternative Asset Management Limited,INE18UN01038,,EQ,GAJA.NS,157.6199951171875,12993773.714285716,PASS,PASS
NSE,STOCK,CANBK,Canara Bank,INE476A01022,,EQ,CANBK.NS,125.5,12876040.6,PASS,PASS
NSE,STOCK,LICI,Life Insurance Corporation Of India,INE0J1Y01017,,EQ,LICI.NS,415.3500061035156,12738024.35,PASS,PASS
NSE,STOCK,VEDL,Vedanta Limited,INE205A01025,,EQ,VEDL.NS,272.1000061035156,12711047.5,PASS,PASS
NSE,STOCK,MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,,EQ,MOTHERSON.NS,160.6999969482422,12678515.65,PASS,PASS
NSE,STOCK,JIOFIN,Jio Financial Services Limited,INE758E01017,,EQ,JIOFIN.NS,239.5,12337849.95,PASS,PASS
NSE,STOCK,IDBI,IDBI Bank Limited,INE008A01015,,EQ,IDBI.NS,90.62999725341795,12240207.9,PASS,PASS
