dataset,trades,wins,losses,win_rate,avg_net,avg_gross,average_winner,average_loser,profit_factor,expectancy,compounded,max_drawdown,avg_holding,median_holding,target_exits,stop_exits,time_exits
BASELINE,417,146,271,35.011990407673856,-0.08423676386892133,0.06576323613107864,4.770904242922312,-2.699921586715859,0.9519915939429152,-0.08423676386892133,-45.845655251764626,-80.32559439016421,4.280575539568345,3.0,144,271,2
REGIME_FILTERED,102,33,69,32.35294117647059,-0.27351715686273753,-0.12351715686273765,4.799469696969707,-2.6997282608695583,0.8502331823519583,-0.27351715686273753,-28.924574448237383,-46.725052423073635,4.637254901960785,3.0,33,69,0
