category,name,trades,wins,losses,win_rate_pct,avg_return_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_pct,max_drawdown_pct,avg_holding_days,max_winning_streak,max_losing_streak
OVERALL,ALL,417,146,271,35.011990407673856,-0.0842367638689214,4.770904242922312,-2.699921586715859,0.9519915939429152,-0.0842367638689214,-45.845655251764626,-80.32559439016423,4.280575539568345,10.0,13.0
DIRECTION,LONG,222,78,144,35.13513513513514,-0.0649324324324269,4.79750000000001,-2.698749999999997,0.9629072101281488,-0.0649324324324269,-24.764230585954394,-66.84191088069653,4.04954954954955,,
DIRECTION,SHORT,195,68,127,34.87179487179487,-0.10621400273508422,4.740397345097894,-2.7012499999999853,0.9396262869454824,-0.10621400273508422,-28.020481255123297,-64.83662359169583,4.543589743589743,,
SYMBOL,500034.BO,5,1,4,20.0,-1.1999999999999926,4.797500000000007,-2.6993749999999928,0.44431581384579955,-1.1999999999999926,-6.068027557284584,-7.88208490395329,5.8,,
SYMBOL,500112.BO,3,1,2,33.33333333333333,-0.20083333333332862,4.79750000000001,-2.699999999999998,0.8884259259259285,-0.20083333333332862,-0.7851676388745954,-2.7012499999999884,15.0,,
SYMBOL,500209.BO,6,2,4,33.33333333333333,-0.1995833333333227,4.802500000000006,-2.700624999999987,0.8891460310113454,-0.1995833333333227,-1.5573066081138398,-7.884451726452902,5.166666666666667,,
SYMBOL,500325.BO,6,2,4,33.33333333333333,-0.20083333333332556,4.800000000000013,-2.701249999999995,0.8884775566867231,-0.20083333333332556,-1.5645323963553448,-5.3295324843749885,5.333333333333333,,
SYMBOL,500470.BO,4,2,2,50.0,1.0500000000000096,4.800000000000009,-2.6999999999999895,1.777777777777788,1.0500000000000096,3.979624685268468,-5.3271000156249855,12.0,,
SYMBOL,ADANIPOWER.BO,2,1,1,50.0,1.0493750000000128,4.797500000000012,-2.698749999999986,1.7776748494673595,1.0493750000000128,1.9692774687500192,-2.698749999999994,6.0,,
SYMBOL,ADANIPOWER.NS,2,1,1,50.0,1.049375000000016,4.797500000000018,-2.698749999999986,1.7776748494673618,1.049375000000016,1.9692774687500192,-2.698749999999994,6.0,,
SYMBOL,ASHOKLEY.NS,8,3,5,37.5,0.11234375000000435,4.799166666666672,-2.6997499999999954,1.066580238911013,0.11234375000000435,0.3790931826726185,-7.882084903953334,5.25,,
SYMBOL,ASTERDM.BO,4,2,2,50.0,1.0493750000000093,4.797500000000012,-2.6987499999999933,1.7776748494673549,1.0493750000000093,3.9773354749893075,-5.324667484374979,1.5,,
SYMBOL,AYE.BO,1,1,0,100.0,4.797500000000013,4.797500000000013,0.0,inf,4.797500000000013,4.79750000000001,0.0,1.0,,
SYMBOL,CANBK.NS,5,2,3,40.0,0.3007500000000082,4.802500000000004,-2.7004166666666554,1.1856195031630978,0.3007500000000082,1.175702043331639,-5.327100015624975,5.6,,
SYMBOL,CGCL.BO,7,1,6,14.285714285714285,-1.6278571428571367,4.802500000000003,-2.6995833333333272,0.2964963728970529,-1.6278571428571367,-11.06763482081653,-10.368117137607868,2.2857142857142856,,
SYMBOL,COALINDIA.BO,9,0,9,0.0,-2.700138888888879,0.0,-2.700138888888879,0.0,-2.700138888888879,-21.835422857001706,-19.66538404347612,6.888888888888889,,
SYMBOL,CUPID.BO,7,2,5,28.57142857142857,-0.5569642857142727,4.800000000000012,-2.6997499999999865,0.7111769608297117,-0.5569642857142727,-4.216137615236326,-8.605364962893391,2.5714285714285716,,
SYMBOL,CUPID.NS,8,1,7,12.5,-1.7626562499999905,4.79750000000001,-2.6998214285714193,0.25385276804021567,-1.7626562499999905,-13.47404858023551,-11.071877675957332,2.5,,
SYMBOL,EPL.BO,8,3,5,37.5,0.11265625000000534,4.799166666666674,-2.699249999999996,1.0667778086505544,0.11265625000000534,0.3816723291977464,-5.3271000156249855,2.625,,
SYMBOL,ETERNAL.BO,5,1,4,20.0,-1.199499999999989,4.802500000000007,-2.6999999999999877,0.44467592592592864,-1.199499999999989,-6.065959510090668,-5.3271000156249855,3.0,,
SYMBOL,ETERNAL.NS,5,1,4,20.0,-1.199499999999987,4.802500000000008,-2.6999999999999855,0.4446759259259291,-1.199499999999987,-6.065959510090657,-5.327100015624975,3.0,,
SYMBOL,FCL.NS,5,1,4,20.0,-1.1984999999999972,4.802500000000006,-2.698749999999998,0.4448818897637804,-1.1984999999999972,-6.061132354178467,-5.32466748437499,2.4,,
SYMBOL,GMRAIRPORT.BO,5,2,3,40.0,0.3002500000000034,4.800000000000007,-2.6995833333333326,1.185368112363021,0.3002500000000034,1.1734745640747724,-7.882084903953334,6.2,,
SYMBOL,GMRAIRPORT.NS,6,2,4,33.33333333333333,-0.19999999999999027,4.800000000000008,-2.699999999999989,0.888888888888894,-0.19999999999999027,-1.5594739175872507,-10.370420085485232,5.5,,
SYMBOL,GROWW.BO,4,1,3,25.0,-0.8253124999999918,4.797500000000004,-2.6995833333333237,0.5923753665689175,-0.8253124999999918,-3.4627279272204436,-2.7012499999999773,1.25,,
SYMBOL,GROWW.NS,4,2,2,50.0,1.048750000000012,4.797500000000015,-2.6999999999999913,1.7768518518518632,1.048750000000012,3.9746639436504028,-2.7012499999999884,1.5,,
SYMBOL,HDFCBANK.NS,6,4,2,66.66666666666666,2.300416666666676,4.8000000000000105,-2.6987499999999933,3.5572024085224805,2.300416666666676,14.204171938887388,-2.698749999999994,14.666666666666666,,
SYMBOL,HFCL.NS,4,1,3,25.0,-0.8240624999999903,4.8025,-2.6995833333333206,0.5929927457941069,-0.8240624999999903,-3.458122031465638,-7.882084903953279,1.5,,
SYMBOL,HINDCOPPER.BO,3,0,3,0.0,-2.700416666666667,0.0,-2.700416666666667,0.0,-2.700416666666667,-7.884451726452923,-5.327100015624997,2.0,,
SYMBOL,HINDCOPPER.NS,3,0,3,0.0,-2.7004166666666634,0.0,-2.7004166666666634,0.0,-2.7004166666666634,-7.884451726452923,-5.327100015625009,2.0,,
SYMBOL,ICICIPRULI.BO,9,2,7,22.22222222222222,-1.0329166666666558,4.802500000000007,-2.7001785714285593,0.508167449242778,-1.0329166666666558,-9.316643283000714,-12.789298373428192,3.111111111111111,,
SYMBOL,IDBI.NS,8,3,5,37.5,0.11234375000000452,4.799166666666676,-2.699749999999998,1.066580238911013,0.11234375000000452,0.3790931826726407,-6.0680275572846165,3.25,,
SYMBOL,IDFCFIRSTB.BO,4,1,3,25.0,-0.8259374999999928,4.797500000000011,-2.7004166666666607,0.592192562876102,-0.8259374999999928,-3.4652082980294874,-2.7012499999999995,5.0,,
SYMBOL,IDFCFIRSTB.NS,3,1,2,33.33333333333333,-0.2008333333333184,4.797500000000019,-2.699999999999987,0.8884259259259337,-0.2008333333333184,-0.7851676388745732,-2.698749999999994,5.666666666666667,,
SYMBOL,IFCI.NS,4,0,4,0.0,-2.699374999999993,0.0,-2.699374999999993,0.0,-2.699374999999993,-10.368117137607857,-7.879718020640414,1.5,,
SYMBOL,INOXWIND.BO,7,4,3,57.14285714285714,1.5873214285714388,4.802500000000011,-2.699583333333324,2.3719709831764297,1.5873214285714388,11.129835230401985,-5.32466748437499,4.142857142857143,,
SYMBOL,INOXWIND.NS,7,3,4,42.857142857142854,0.5153571428571585,4.802500000000016,-2.699999999999985,1.3340277777777896,0.5153571428571585,3.1730546086599087,-5.3246674843749675,3.4285714285714284,,
SYMBOL,IOC.BO,4,3,1,75.0,2.9240625000000167,4.799166666666683,-2.701249999999985,5.329939842665481,2.9240625000000167,11.9903877694729,-2.7012499999999884,4.0,,
SYMBOL,ITC.NS,7,3,4,42.857142857142854,0.5146428571428736,4.802500000000015,-2.7012499999999826,1.333410458121253,0.5146428571428736,3.1677529435129914,-7.886818488140768,8.285714285714286,,
SYMBOL,IXIGO.BO,3,1,2,33.33333333333333,-0.2008333333333181,4.797500000000015,-2.699999999999985,0.8884259259259337,-0.2008333333333181,-0.7851676388745621,-2.7012499999999773,2.3333333333333335,,
SYMBOL,JINDWORLD.NS,4,2,2,50.0,1.0500000000000034,4.800000000000006,-2.6999999999999993,1.7777777777777806,1.0500000000000034,3.979624685268446,-2.6987500000000053,4.0,,
SYMBOL,JIOFIN.BO,9,4,5,44.44444444444444,0.6329166666666755,4.800000000000007,-2.70074999999999,1.4218272702027288,0.6329166666666755,5.194393321043456,-7.884451726452902,5.888888888888889,,
SYMBOL,JIOFIN.NS,10,4,6,40.0,0.299500000000012,4.800000000000011,-2.700833333333321,1.1848195001542814,0.299500000000012,2.3528297714587643,-8.60570106949945,5.2,,
SYMBOL,JSWENERGY.BO,8,2,6,25.0,-0.8249999999999915,4.80000000000001,-2.6999999999999917,0.5925925925925957,-0.8249999999999915,-6.803499197904783,-10.370420085485243,3.875,,
SYMBOL,KALYANKJIL.BO,7,4,3,57.14285714285714,1.5855357142857243,4.800000000000011,-2.7004166666666585,2.3700046289153036,1.5855357142857243,11.116376713447051,-2.7012499999999995,3.4285714285714284,,
SYMBOL,LENSKART.BO,2,0,2,0.0,-2.698749999999998,0.0,-2.698749999999998,0.0,-2.698749999999998,-5.32466748437499,-2.698749999999983,3.0,,
SYMBOL,LENSKART.NS,1,1,0,100.0,4.797499999999996,4.797499999999996,0.0,inf,4.797499999999996,4.797499999999988,0.0,2.0,,
SYMBOL,LICI.NS,5,2,3,40.0,0.2992500000000094,4.7975000000000145,-2.6995833333333272,1.1847507331378362,0.2992500000000094,1.1686477004711593,-2.698749999999994,4.8,,
SYMBOL,LLOYDSENGG.BO,5,2,3,40.0,0.2987500000000137,4.797500000000017,-2.700416666666655,1.1843851257522082,0.2987500000000137,1.1660483338725935,-5.3271000156249855,2.8,,
SYMBOL,MAHABANK.BO,4,1,3,25.0,-0.8253124999999933,4.797500000000013,-2.699583333333328,0.5923753665689176,-0.8253124999999933,-3.4627279272204547,-5.324667484375,2.25,,
SYMBOL,MAHABANK.NS,3,0,3,0.0,-2.6995833333333334,0.0,-2.6995833333333334,0.0,-2.6995833333333334,-7.882084903953334,-5.324667484375012,1.3333333333333333,,
SYMBOL,MOREPENLAB.NS,5,2,3,40.0,0.29825000000000657,4.797500000000005,-2.7012499999999924,1.1840197439457087,0.29825000000000657,1.1634490340605375,-5.3295324843749885,5.6,,
SYMBOL,MOTHERSON.BO,5,1,4,20.0,-1.199999999999998,4.797499999999999,-2.699374999999997,0.44431581384579805,-1.199999999999998,-6.0680275572846165,-7.879718020640447,2.6,,
SYMBOL,MOTHERSON.NS,5,1,4,20.0,-1.1999999999999926,4.797500000000017,-2.699374999999995,0.44431581384580005,-1.1999999999999926,-6.068027557284594,-7.879718020640425,2.6,,
SYMBOL,NMDC.BO,10,3,7,30.0,-0.4498749999999931,4.799166666666676,-2.6994642857142805,0.761923662102272,-0.4498749999999931,-4.965759753135568,-7.882084903953313,5.4,,
SYMBOL,NMDC.NS,10,3,7,30.0,-0.44987499999999114,4.799166666666679,-2.699464285714278,0.7619236621022731,-0.44987499999999114,-4.965759753135568,-7.88208490395329,4.9,,
SYMBOL,NORTHARC.BO,2,0,2,0.0,-2.6987500000000013,0.0,-2.6987500000000013,0.0,-2.6987500000000013,-5.324667484375012,-2.6987500000000053,2.0,,
SYMBOL,NTPC.BO,3,2,1,66.66666666666666,2.2995833333333437,4.800000000000008,-2.701249999999983,3.5539102267469045,2.2995833333333437,6.863606259188293,0.0,11.666666666666666,,
SYMBOL,PFC.BO,10,3,7,30.0,-0.44962499999999406,4.80083333333334,-2.699821428571423,0.7620874396454819,-0.44962499999999406,-4.963667437933883,-11.06763482081654,3.5,,
SYMBOL,PINELABS.BO,2,1,1,50.0,1.0506250000000117,4.8025,-2.701249999999977,1.7778806108283356,1.0506250000000117,1.971522468750031,-2.701249999999966,2.0,,
SYMBOL,PINELABS.NS,3,2,1,66.66666666666666,2.299583333333347,4.8000000000000105,-2.70124999999998,3.5539102267469107,2.299583333333347,6.863606259188337,-2.701249999999966,1.6666666666666667,,
SYMBOL,PNB.NS,6,1,5,16.666666666666664,-1.4493749999999979,4.802500000000005,-2.699749999999998,0.3557736827484032,-1.4493749999999979,-8.601004427812132,-7.882084903953313,3.0,,
SYMBOL,PWL.BO,1,1,0,100.0,4.797500000000009,4.797500000000009,0.0,inf,4.797500000000009,4.79750000000001,0.0,1.0,,
SYMBOL,PWL.NS,1,1,0,100.0,4.79750000000001,4.79750000000001,0.0,inf,4.79750000000001,4.79750000000001,0.0,1.0,,
SYMBOL,RUBICON.BO,2,0,2,0.0,-2.6987499999999924,0.0,-2.6987499999999924,0.0,-2.6987499999999924,-5.324667484374979,-2.698749999999983,2.5,,
SYMBOL,SAIL.NS,4,2,2,50.0,1.049375000000007,4.797500000000011,-2.698749999999997,1.7776748494673522,1.049375000000007,3.9773354749893075,-2.698749999999994,7.0,,
SYMBOL,SAMMAANCAP.BO,6,2,4,33.33333333333333,-0.20083333333332196,4.79750000000001,-2.6999999999999877,0.8884259259259318,-0.20083333333332196,-1.5641703955377895,-10.370420085485232,2.3333333333333335,,
SYMBOL,SBFC.BO,7,2,5,28.57142857142857,-0.5569642857142815,4.80000000000001,-2.699749999999998,0.7111769608297084,-0.5569642857142815,-4.216137615236393,-7.882084903953324,3.0,,
SYMBOL,SHADOWFAX.BO,1,0,1,0.0,-2.698749999999997,0.0,-2.698749999999997,0.0,-2.698749999999997,-2.698749999999994,0.0,1.0,,
SYMBOL,SHUKRAPHAR.BO,6,3,3,50.0,1.0493750000000068,4.797500000000006,-2.6987499999999915,1.7776748494673535,1.0493750000000068,6.024937715104883,-5.324667484374979,2.0,,
SYMBOL,SWIGGY.BO,2,0,2,0.0,-2.698749999999997,0.0,-2.698749999999997,0.0,-2.698749999999997,-5.32466748437499,-2.698749999999994,1.5,,
SYMBOL,SWIGGY.NS,2,0,2,0.0,-2.6987499999999898,0.0,-2.6987499999999898,0.0,-2.6987499999999898,-5.324667484374979,-2.698749999999983,2.0,,
SYMBOL,TATASTEEL.NS,4,2,2,50.0,1.0500000000000123,4.8000000000000105,-2.699999999999986,1.777777777777791,1.0500000000000123,3.9796246852685124,-2.701249999999955,14.5,,
SYMBOL,TENNIND.BO,2,1,1,50.0,1.0518750000000037,4.802500000000007,-2.69875,1.779527559055121,1.0518750000000037,1.9741425312499894,0.0,1.5,,
SYMBOL,TFCILTD.BO,5,2,3,40.0,0.300250000000001,4.8,-2.6995833333333317,1.1853681123630195,0.300250000000001,1.1734745640747501,-7.882084903953313,3.0,,
SYMBOL,TFCILTD.NS,4,1,3,25.0,-0.8240624999999991,4.802500000000001,-2.6995833333333326,0.5929927457941043,-0.8240624999999991,-3.4581220314656935,-5.327100015625009,5.25,,
SYMBOL,UJJIVANSFB.BO,7,3,4,42.857142857142854,0.5128571428571529,4.797500000000007,-2.700624999999988,1.332330479055782,0.5128571428571529,3.1556380424987207,-5.3271000156249855,4.714285714285714,,
SYMBOL,UJJIVANSFB.NS,7,4,3,57.14285714285714,1.5837500000000113,4.79750000000001,-2.701249999999986,2.3680394878914255,1.5837500000000113,11.10291982640268,-2.7012499999999995,5.142857142857143,,
SYMBOL,URBANCO.BO,2,0,2,0.0,-2.699999999999993,0.0,-2.699999999999993,0.0,-2.699999999999993,-5.3271000156249855,-2.698749999999994,1.0,,
SYMBOL,URBANCO.NS,2,0,2,0.0,-2.6999999999999895,0.0,-2.6999999999999895,0.0,-2.6999999999999895,-5.3271000156249855,-2.698749999999994,1.0,,
SYMBOL,VEDL.BO,6,2,4,33.33333333333333,-0.20083333333331935,4.800000000000011,-2.701249999999985,0.8884775566867262,-0.20083333333331935,-1.5645323963552893,-5.329532484374977,2.1666666666666665,,
SYMBOL,VEDL.NS,6,1,5,16.666666666666664,-1.4514583333333153,4.797500000000011,-2.7012499999999804,0.35520592318371463,-1.4514583333333153,-8.612409498818007,-7.886818488140768,2.8333333333333335,,
SYMBOL,VIYASH.BO,4,1,3,25.0,-0.8259374999999864,4.797500000000015,-2.7004166666666536,0.5921925628761041,-0.8259374999999864,-3.465208298029454,-5.329532484374965,2.5,,
SYMBOL,VMM.BO,3,3,0,100.0,4.802500000000012,4.802500000000012,0.0,inf,4.802500000000012,15.110496676501594,0.0,6.666666666666667,,
SYMBOL,VMM.NS,3,3,0,100.0,4.80250000000001,4.80250000000001,0.0,inf,4.80250000000001,15.110496676501572,0.0,7.0,,
SYMBOL,WELSPUNLIV.BO,2,0,2,0.0,-2.698749999999995,0.0,-2.698749999999995,0.0,-2.698749999999995,-5.32466748437499,-2.698749999999994,1.5,,
SYMBOL,ZEEL.BO,9,5,4,55.55555555555556,1.2768859027816841,4.458394625007022,-2.6999999999999886,2.064071585651408,1.2768859027816841,11.46050312291198,-5.329532484374965,3.7777777777777777,,
SYMBOL,ZEEL.NS,9,5,4,55.55555555555556,1.1888940379579083,4.300009268324226,-2.69999999999999,1.9907450316315938,1.1888940379579083,10.604249854045777,-5.329532484374977,4.111111111111111,,
MONTH,2024-10,14,4,10,28.57142857142857,-0.5574999999999891,4.80000000000001,-2.7004999999999884,0.7109794482503284,-0.5574999999999891,-8.261588645223084,-21.839439432995654,2.0714285714285716,,
MONTH,2024-11,21,7,14,33.33333333333333,-0.19999999999999155,4.800357142857152,-2.700178571428563,0.8888962370213654,-0.19999999999999155,-5.352762550598722,-13.476589919867276,2.4761904761904763,,
MONTH,2024-12,22,7,15,31.818181818181817,-0.3136931818181754,4.800357142857151,-2.7002499999999947,0.8296145418634108,-0.3136931818181754,-7.909421052200727,-15.15161791763282,5.590909090909091,,
MONTH,2025-01,28,11,17,39.285714285714285,0.24709821428572373,4.802500000000006,-2.700514705882342,1.1507065646527141,0.24709821428572373,5.188266333715119,-19.6715760928001,4.964285714285714,,
MONTH,2025-02,13,5,8,38.46153846153847,0.18461538461539947,4.801500000000013,-2.7009374999999842,1.1110725442554765,0.18461538461539947,1.5562693520368764,-13.478813000507994,3.6153846153846154,,
