trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,median_holding_days,target_exits,stop_exits,time_exits,month
2,2,0,100.0,4.800000000000013,4.800000000000013,4.9500000000000135,4.800000000000013,0.0,inf,4.800000000000013,9.830399937500033,0.0,3.0,3.0,2,0,0,2024-09
13,2,11,15.384615384615385,-1.546442307692297,-2.7012499999999795,-1.3964423076922974,4.800000000000006,-2.700340909090898,0.3231915162227009,-1.546442307692297,-18.726854287032058,-21.83943943299567,2.3076923076923075,1.0,2,11,0,2024-10
24,8,16,33.33333333333333,-0.19999999999999232,-2.6987500000000004,-0.04999999999999242,4.80000000000001,-2.699999999999993,0.888888888888893,-0.19999999999999232,-6.093489252535966,-13.476589919867287,3.8333333333333335,2.0,8,16,0,2024-11
27,13,14,48.148148148148145,0.9115740740740813,-2.6987499999999924,1.0615740740740818,4.801730769230776,-2.7007142857142776,1.6509521290663915,0.9115740740740813,25.407942361180446,-15.815966564331841,6.407407407407407,6.0,13,14,0,2024-12
19,4,15,21.052631578947366,-1.1208552631578845,-2.7012499999999706,-0.9708552631578847,4.802500000000007,-2.700416666666656,0.47424780126523947,-1.1208552631578845,-19.98870911432182,-23.054662020247584,2.210526315789474,1.0,4,15,0,2025-01
15,7,8,46.666666666666664,0.8003333333333482,-2.6987500000000018,0.9503333333333484,4.801785714285728,-2.7009374999999842,1.5555941224112133,0.8003333333333482,11.544978466406274,-13.478813000507994,3.2666666666666666,3.0,7,8,0,2025-02
8,1,7,12.5,-1.7623437499999959,-2.6987500000000004,-1.612343749999996,4.797500000000004,-2.6994642857142814,0.2538863531123906,-1.7623437499999959,-13.47182537717745,-12.787057576356675,3.25,2.0,1,7,0,2025-03
26,6,20,23.076923076923077,-0.9693269230769153,-2.6987499999999986,-0.8193269230769153,4.799166666666674,-2.699874999999992,0.5332654289550466,-0.9693269230769153,-23.367156903322872,-25.71661479052346,2.1538461538461537,2.0,6,20,0,2025-04
17,7,10,41.17647058823529,0.38764705882353734,-2.69874999999999,0.5376470588235374,4.797500000000011,-2.6992499999999935,1.2441418912660982,0.38764705882353734,5.588916983994285,-15.138536480432785,4.411764705882353,3.0,7,10,0,2025-05
21,6,15,28.57142857142857,-0.5570833333333276,-2.698749999999993,-0.40708333333332786,4.797500000000013,-2.6989166666666637,0.7110260289622405,-0.5570833333333276,-12.123921253751902,-20.287953472315145,7.285714285714286,5.0,6,15,0,2025-06
14,5,9,35.714285714285715,-0.02151785714284766,-2.698749999999998,0.1284821428571523,4.799500000000012,-2.699861111111103,0.9876022429137356,-0.02151785714284766,-1.1862925942216829,-15.147257662638125,7.357142857142857,8.0,5,9,0,2025-07
15,2,13,13.333333333333334,-1.70024999999999,-2.7012499999999773,-1.5502499999999906,4.800000000000001,-2.7002884615384506,0.2734750560837529,-1.70024999999999,-23.056356045006478,-20.92224513560359,3.6,2.0,2,13,0,2025-08
25,6,19,24.0,-0.9004499999999896,-2.698749999999998,-0.7504499999999896,4.79916666666668,-2.7003289473684116,0.5612376659763708,-0.9004499999999896,-21.24773692689287,-25.140291405199868,9.12,7.0,6,19,0,2025-09
13,5,8,38.46153846153847,0.18442307692308313,-2.6987499999999947,0.3344230769230828,4.797500000000012,-2.6987499999999978,1.111046780917095,0.18442307692308313,1.5551539067968356,-10.36581413055837,4.846153846153846,2.0,5,8,0,2025-10
15,2,13,13.333333333333334,-1.6997499999999917,-2.698750000000003,-1.549749999999992,4.802500000000004,-2.7000961538461445,0.27363697874007453,-1.6997499999999917,-23.050707893062082,-22.44544578819464,5.066666666666666,3.0,2,13,0,2025-11
11,1,10,9.090909090909092,-2.0179545454545447,-2.6987500000000075,-1.8679545454545448,4.797500000000014,-2.6995000000000005,0.17771809594369375,-2.0179545454545447,-20.29204956678936,-18.081267781029897,2.5454545454545454,3.0,1,10,0,2025-12
22,11,11,50.0,1.0503977272727394,1.0493750000000062,1.2003977272727395,4.801590909090921,-2.7007954545454425,1.7778432280052296,1.0503977272727394,23.950652012743934,-15.149437818143252,3.909090909090909,3.0,11,11,0,2026-01
12,3,9,25.0,-0.8238541666666602,-2.6987499999999898,-0.6738541666666604,4.800833333333345,-2.698749999999995,0.5929699963975116,-0.8238541666666602,-10.01710041434194,-17.428735227167113,2.75,2.5,3,9,0,2026-02
19,9,10,47.368421052631575,0.8536842105263258,-2.698749999999986,1.0036842105263264,4.802500000000008,-2.7002499999999876,1.6006851217479963,0.8536842105263258,16.00107852080035,-7.886818488140768,2.6315789473684212,3.0,9,10,0,2026-03
20,12,8,60.0,1.798875000000009,4.797500000000006,1.9488750000000095,4.797916666666676,-2.6996874999999907,2.665817802986471,1.798875000000009,40.97615779716284,-10.372722974192083,3.85,3.5,12,8,0,2026-04
17,6,11,35.294117647058826,-0.053308823529404005,-2.698749999999997,0.0966911764705959,4.799166666666674,-2.700113636363629,0.9694878161693573,-0.053308823529404005,-1.9646647734096967,-18.728643592592164,4.529411764705882,4.0,6,11,0,2026-05
16,6,10,37.5,0.11156250000001044,-2.6987499999999964,0.26156250000001047,4.797500000000012,-2.6999999999999904,1.0661111111111174,0.11156250000001044,0.7474208621976342,-15.147257662638136,3.375,2.0,6,10,0,2026-06
22,7,15,31.818181818181817,-0.31392045454544576,-2.6987499999999964,-0.1639204545454458,4.7982142857142955,-2.6995833333333246,0.8294489890415231,-0.31392045454544576,-7.913137278540683,-24.540110677756743,3.5,2.0,7,15,0,2026-07
24,15,9,62.5,1.8119070611106816,4.7975,1.9619070611106821,4.518634631110417,-2.699305555555544,2.7899982286249156,1.8119070611106816,51.63105713268001,-10.368117137607836,3.2083333333333335,1.0,13,9,2,2026-08
