variant,filter,trades,average_gross_pct,approx_break_even_cost_pct
CURRENT,ALL,334,0.17649106615515683,0.17649106615515683
CURRENT,SHORT_ONLY,171,0.5365724387416341,0.5365724387416341
CURRENT,NO_NEUTRAL,250,0.3064472547546644,0.3064472547546644
CURRENT,SHORT_NO_NEUTRAL,132,0.713897938528938,0.713897938528938
EMA_MACD,ALL,488,0.2909158420968295,0.2909158420968295
EMA_MACD,SHORT_ONLY,252,0.5762705884816308,0.5762705884816308
EMA_MACD,NO_NEUTRAL,361,0.4071334652724809,0.4071334652724809
EMA_MACD,SHORT_NO_NEUTRAL,189,0.6549198173803539,0.6549198173803539
