test,current_trades,zone_trades,observed_delta_pct,bootstrap_ci_low_pct,bootstrap_ci_high_pct,probability_zone_better_pct,permutation_p_value
FULL_SAMPLE,435.0,400.0,0.15487507778079274,-0.30861183548006094,0.6287797977554306,74.57000000000001,0.266973302669733
WIN_RATE,435.0,400.0,2.2586206896551717,-4.310344827586206,8.916666666666671,74.91,
REMOVE_TOP_0,435.0,400.0,0.1548750777807929,-0.3133967808110369,0.6245784186120191,73.5,
REMOVE_TOP_1,434.0,399.0,0.15428578563707135,-0.32663489927948464,0.6210616108674184,73.42999999999999,
REMOVE_TOP_3,432.0,397.0,0.15308465108202524,-0.3192519823295266,0.6152665560948439,74.0,
REMOVE_TOP_5,430.0,395.0,0.1518528563009382,-0.31940261273866444,0.6231779449517804,73.24000000000001,
REMOVE_TOP_10,425.0,390.0,0.14863439970781717,-0.32207007273085564,0.6235208447922294,72.97,
COMPANY_LEVEL,,,0.20480221583827382,-0.0470912778481715,0.5303110313519362,93.62,
