trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,regime_test
435,162,273,37.24137931034483,0.07043132665258107,0.220431326652581,4.4983619620718365,-2.5571319075522516,1.0438873489236702,0.07043132665258107,4.64919689646659,-33.700647605898894,4.0,134,263,38,CURRENT,ALL
208,82,126,39.42307692307692,0.25628455026410685,0.40628455026410687,4.520632164313395,-2.5189258017362235,1.1679576699245695,0.25628455026410685,49.97890632092079,-21.72727097158874,4.399038461538462,69,119,20,CURRENT,BULL_BEAR
119,43,76,36.134453781512605,-0.04694878591736554,0.1030512140826344,4.262619557142205,-2.4852571905431757,0.9704208018906896,-0.04694878591736554,-11.486731986160015,-22.18955353198079,5.243697478991597,32,70,17,CURRENT,BULL_ONLY
89,39,50,43.82022471910113,0.6617313705516935,0.8117313705516936,4.805107602989321,-2.570102090749657,1.4583015763542857,0.6617313705516935,69.44228779065081,-19.701889976120647,3.269662921348315,37,49,3,CURRENT,BEAR_ONLY
227,80,147,35.24229074889868,-0.09986590026899331,0.05013409973100679,4.475535004774239,-2.5898799982517042,0.940454889942726,-0.09986590026899331,-30.22405652662855,-43.91088551034783,3.6343612334801763,65,144,18,CURRENT,NEUTRAL_ONLY
674,254,420,37.68545994065282,0.12397330688342992,0.2739733068834299,4.543792021881698,-2.548964677901237,1.0780503715169936,0.12397330688342992,52.84275507971561,-70.61886747752362,4.014836795252226,217,404,53,EMA_MACD,ALL
301,122,179,40.53156146179402,0.3259817190408572,0.47598171904085734,4.526422551707107,-2.5368885691450784,1.216075396528564,0.3259817190408572,120.7941663026379,-46.17907404304433,4.561461794019934,106,171,24,EMA_MACD,BULL_BEAR
176,68,108,38.63636363636363,0.12937983875424733,0.27937983875424727,4.283601192756954,-2.486241013765976,1.0848032099636464,0.12937983875424733,13.342318618051618,-44.61303664671574,5.028409090909091,54,100,22,EMA_MACD,BULL_ONLY
125,54,71,43.2,0.602797166484404,0.7527971664844039,4.832197596311004,-2.6139299209893476,1.4060027044062182,0.602797166484404,94.8029376800423,-17.150153404353762,3.904,52,71,2,EMA_MACD,BEAR_ONLY
368,130,238,35.32608695652174,-0.04504251762663897,0.1049574823733611,4.553357418114981,-2.556773574964498,0.9727603671458904,-0.04504251762663897,-31.919321255081268,-63.79008835181891,3.573369565217391,109,230,29,EMA_MACD,NEUTRAL_ONLY
