exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
NSE,STOCK,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,,EQ,ADVANIHOTR.NS
NSE,STOCK,ADVENTHTL,Advent Hotels International Limited,INE28GN01010,,EQ,ADVENTHTL.NS
NSE,STOCK,ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,,EQ,ADVENZYMES.NS
NSE,STOCK,ADVIKCA,Advik Capital Limited,INE178T01024,,EQ,ADVIKCA.NS
NSE,STOCK,AEGISLOG,Aegis Logistics Limited,INE208C01025,,EQ,AEGISLOG.NS
NSE,STOCK,AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,,EQ,AEGISVOPAK.NS
NSE,STOCK,AEPL,Artemis Electricals and Projects Limited,INE757T01025,,EQ,AEPL.NS
NSE,STOCK,AEQUS,Aequs Limited,INE947N01017,,EQ,AEQUS.NS
NSE,STOCK,AEROENTER,Aeroflex Enterprises Limited,INE065D01027,,EQ,AEROENTER.NS
NSE,STOCK,AEROFLEX,Aeroflex Industries Limited,INE024001021,,EQ,AEROFLEX.NS
NSE,STOCK,AERONEU,Aeroflex Neu Limited,INE035801013,,EQ,AERONEU.NS
NSE,STOCK,AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,,EQ,AEROPLANE.NS
NSE,STOCK,AETHER,Aether Industries Limited,INE0BWX01014,,EQ,AETHER.NS
NSE,STOCK,AFCONS,Afcons Infrastructure Limited,INE101I01011,,EQ,AFCONS.NS
NSE,STOCK,AFFLE,Affle 3i Limited,INE00WC01027,,EQ,AFFLE.NS
NSE,STOCK,AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,,EQ,AFFORDABLE.NS
NSE,STOCK,AFIL,Akme Fintrade (India) Limited,INE916Y01027,,EQ,AFIL.NS
NSE,STOCK,AFSL,Abans Financial Services Limited,INE00ZE01026,,EQ,AFSL.NS
NSE,STOCK,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,,EQ,AGARIND.NS
NSE,STOCK,AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,,EQ,AGARWALEYE.NS
NSE,STOCK,AGI,AGI Greenpac Limited,INE415A01038,,EQ,AGI.NS
NSE,STOCK,AGIIL,Agi Infra Limited,INE976R01033,,EQ,AGIIL.NS
NSE,STOCK,AGL,Allcargo Global Limited,INE1YPB01014,,EQ,AGL.NS
NSE,STOCK,AGRITECH,Agri-Tech (India) Limited,INE449G01018,,EQ,AGRITECH.NS
NSE,STOCK,AGROPHOS,Agro Phos India Limited,INE740V01019,,EQ,AGROPHOS.NS
NSE,STOCK,AGSTRA,AGS Transact Technologies Limited,INE583L01014,,BZ,AGSTRA.NS
NSE,STOCK,AHCL,Anlon Healthcare Limited,INE0Y8W01025,,EQ,AHCL.NS
NSE,STOCK,AHLADA,Ahlada Engineers Limited,INE00PV01013,,EQ,AHLADA.NS
NSE,STOCK,AHLEAST,Asian Hotels (East) Limited,INE926K01017,,EQ,AHLEAST.NS
NSE,STOCK,AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,,EQ,AHLUCONT.NS
NSE,STOCK,AHLWEST,Asian Hotels (West) Limited,INE915K01010,,BE,AHLWEST.NS
NSE,STOCK,AIAENG,AIA Engineering Limited,INE212H01026,,EQ,AIAENG.NS
NSE,STOCK,AIIL,Authum Investment & Infrastructure Limited,INE206F01022,,EQ,AIIL.NS
NSE,STOCK,AIRAN,Airan Limited,INE645W01026,,EQ,AIRAN.NS
NSE,STOCK,AIROLAM,Airo Lam limited,INE801L01010,,EQ,AIROLAM.NS
NSE,STOCK,AJANTPHARM,Ajanta Pharma Limited,INE031B01049,,EQ,AJANTPHARM.NS
NSE,STOCK,AJAXENGG,Ajax Engineering Limited,INE274Y01021,,EQ,AJAXENGG.NS
NSE,STOCK,AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,,EQ,AJMERA.NS
NSE,STOCK,AJOONI,Ajooni Biotech Limited,INE820Y01021,,EQ,AJOONI.NS
NSE,STOCK,AKASH,Akash Infra-Projects Limited,INE737W01013,,EQ,AKASH.NS
NSE,STOCK,AKCAPIT,AK Capital Services Limited,INE701G01012,,EQ,AKCAPIT.NS
NSE,STOCK,AKG,Akg Exim Limited,INE00Y801016,,EQ,AKG.NS
NSE,STOCK,AKI,AKI India Limited,INE642Z01026,,EQ,AKI.NS
NSE,STOCK,AKSHAR,Akshar Spintex Limited,INE256Z01025,,EQ,AKSHAR.NS
NSE,STOCK,AKSHARCHEM,AksharChem India Limited,INE542B01011,,BE,AKSHARCHEM.NS
NSE,STOCK,AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,,BE,AKSHOPTFBR.NS
NSE,STOCK,AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,,EQ,AKUMS.NS
NSE,STOCK,ALANKIT,Alankit Limited,INE914E01040,,EQ,ALANKIT.NS
NSE,STOCK,ALBERTDAVD,Albert David Limited,INE155C01010,,EQ,ALBERTDAVD.NS
NSE,STOCK,ALEMBICLTD,Alembic Limited,INE426A01027,,EQ,ALEMBICLTD.NS
NSE,STOCK,ALFREDHE,Alfred Herbert India Limited,INE782D01027,,EQ,ALFREDHE.NS
NSE,STOCK,ALGOQUANT,Algoquant Fintech Limited,INE598D01035,,EQ,ALGOQUANT.NS
NSE,STOCK,ALICON,Alicon Castalloy Limited,INE062D01024,,EQ,ALICON.NS
NSE,STOCK,ALIVUS,Alivus Life Sciences Limited,INE03Q201024,,EQ,ALIVUS.NS
NSE,STOCK,ALKALI,Alkali Metals Limited,INE773I01017,,BE,ALKALI.NS
NSE,STOCK,ALKEM,Alkem Laboratories Limited,INE540L01014,,EQ,ALKEM.NS
NSE,STOCK,ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,,EQ,ALKYLAMINE.NS
NSE,STOCK,ALLCARGO,Allcargo Logistics Limited,INE418H01029,,EQ,ALLCARGO.NS
NSE,STOCK,ALLDIGI,Alldigi Tech Limited,INE835G01018,,EQ,ALLDIGI.NS
NSE,STOCK,ALLTIME,All Time Plastics Limited,INE0GV601021,,EQ,ALLTIME.NS
NSE,STOCK,ALMONDZ,Almondz Global Securities Limited,INE326B01035,,EQ,ALMONDZ.NS
NSE,STOCK,ALOKINDS,Alok Industries Limited,INE270A01029,,EQ,ALOKINDS.NS
NSE,STOCK,ALPA,Alpa Laboratories Limited,INE385I01010,,EQ,ALPA.NS
NSE,STOCK,ALPHAGEO,Alphageo (India) Limited,INE137C01018,,BE,ALPHAGEO.NS
NSE,STOCK,ALPINETEX,Alpine Texworld Limited,INE1JCQ01037,,EQ,ALPINETEX.NS
NSE,STOCK,ALUFLUOR,Alufluoride Limited,INE058F01019,,EQ,ALUFLUOR.NS
NSE,STOCK,AMAGI,Amagi Media Labs Limited,INE121R01077,,EQ,AMAGI.NS
NSE,STOCK,AMAL,Amal Limited,INE841D01013,,EQ,AMAL.NS
NSE,STOCK,AMANTA,Amanta Healthcare Limited,INE084K01015,,BE,AMANTA.NS
NSE,STOCK,AMARJOTHI,Amarjothi Spinning Mills Limited,INE484D01012,,EQ,AMARJOTHI.NS
NSE,STOCK,AMBALALSA,Ambalal Sarabhai Enterprises Limited,INE432A01017,,BE,AMBALALSA.NS
NSE,STOCK,AMBER,Amber Enterprises India Limited,INE371P01015,,EQ,AMBER.NS
NSE,STOCK,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,,EQ,AMBICAAGAR.NS
NSE,STOCK,AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,,EQ,AMBIKCO.NS
NSE,STOCK,AMBUJACEM,Ambuja Cements Limited,INE079A01024,,EQ,AMBUJACEM.NS
NSE,STOCK,AMDIND,AMD Industries Limited,INE005I01014,,EQ,AMDIND.NS
NSE,STOCK,AMJLAND,Amj Land Holdings Limited,INE606A01024,,EQ,AMJLAND.NS
NSE,STOCK,AMNPLST,Amines & Plasticizers Limited,INE275D01022,,EQ,AMNPLST.NS
NSE,STOCK,AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,,EQ,AMRUTANJAN.NS
NSE,STOCK,ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,,EQ,ANANDRATHI.NS
NSE,STOCK,ANANTRAJ,Anant Raj Limited,INE242C01024,,EQ,ANANTRAJ.NS
NSE,STOCK,ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,,EQ,ANDHRAPAP.NS
NSE,STOCK,ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,,EQ,ANDHRSUGAR.NS
NSE,STOCK,ANDREWYU,Andrew Yule & Company Limited,INE449C01025,,EQ,ANDREWYU.NS
NSE,STOCK,ANGELONE,Angel One Limited,INE732I01021,,EQ,ANGELONE.NS
NSE,STOCK,ANIKINDS,Anik Industries Limited,INE087B01017,,EQ,ANIKINDS.NS
NSE,STOCK,ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,,BZ,ANKITMETAL.NS
NSE,STOCK,ANMOL,Anmol India Limited,INE02AR01019,,EQ,ANMOL.NS
NSE,STOCK,ANNAPURNA,Annapurna Swadisht Limited,INE0MGM01017,,EQ,ANNAPURNA.NS
NSE,STOCK,ANNU,Annu Projects Limited,INE103001017,,BE,ANNU.NS
NSE,STOCK,ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,,BZ,ANSALAPI.NS
NSE,STOCK,ANSALBU,Ansal Buildwell Limited,INE030C01015,,EQ,ANSALBU.NS
NSE,STOCK,ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,,EQ,ANTELOPUS.NS
NSE,STOCK,ANTGRAPHIC,Antarctica Limited,INE414B01021,,EQ,ANTGRAPHIC.NS
NSE,STOCK,ANTHEM,Anthem Biosciences Limited,INE0CZ201020,,EQ,ANTHEM.NS
NSE,STOCK,ANUHPHR,Anuh Pharma Limited,INE489G01022,,EQ,ANUHPHR.NS
NSE,STOCK,ANUP,The Anup Engineering Limited,INE294Z01018,,EQ,ANUP.NS
NSE,STOCK,ANURAS,Anupam Rasayan India Limited,INE930P01018,,EQ,ANURAS.NS
NSE,STOCK,APARINDS,Apar Industries Limited,INE372A01015,,EQ,APARINDS.NS
NSE,STOCK,APCL,Anjani Portland Cement Limited,INE071F01012,,EQ,APCL.NS
NSE,STOCK,APCOTEXIND,Apcotex Industries Limited,INE116A01032,,EQ,APCOTEXIND.NS
NSE,STOCK,APEX,Apex Frozen Foods Limited,INE346W01013,,EQ,APEX.NS
NSE,STOCK,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,,EQ,APLAPOLLO.NS
NSE,STOCK,APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,,EQ,APLLTD.NS
NSE,STOCK,APOLLO,Apollo Micro Systems Limited,INE713T01028,,EQ,APOLLO.NS
NSE,STOCK,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,,EQ,APOLLOHOSP.NS
NSE,STOCK,APOLLOPIPE,Apollo Pipes Limited,INE126J01016,,EQ,APOLLOPIPE.NS
NSE,STOCK,APOLLOTYRE,Apollo Tyres Limited,INE438A01022,,EQ,APOLLOTYRE.NS
NSE,STOCK,APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,,EQ,APOLSINHOT.NS
NSE,STOCK,APOORVA,Apoorva Leasing Finance and Investment Company Limited,INE217S01014,,EQ,APOORVA.NS
NSE,STOCK,APTECHT,Aptech Limited,INE266F01018,,BE,APTECHT.NS
NSE,STOCK,APTUS,Aptus Value Housing Finance India Limited,INE852O01025,,EQ,APTUS.NS
NSE,STOCK,AQYLON,Aqylon Nexus Limited,INE416A01051,,EQ,AQYLON.NS
NSE,STOCK,ARCHIDPLY,Archidply Industries Limited,INE877I01016,,EQ,ARCHIDPLY.NS
NSE,STOCK,ARCHIES,Archies Limited,INE731A01020,,EQ,ARCHIES.NS
NSE,STOCK,ARCL,ARCL Organics Limited,INE372M01010,,EQ,ARCL.NS
NSE,STOCK,ARDEE,Ardee Industries Limited,INE0XNF01022,,EQ,ARDEE.NS
NSE,STOCK,ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,,EQ,ARE&M.NS
NSE,STOCK,ARENTERP,Rajdarshan Industries Limited,INE610C01014,,EQ,ARENTERP.NS
NSE,STOCK,ARFIN,Arfin India Limited,INE784R01023,,EQ,ARFIN.NS
NSE,STOCK,ARIES,Aries Agro Limited,INE298I01015,,EQ,ARIES.NS
NSE,STOCK,ARIHANT,Arihant Foundations & Housing Limited,INE413D01011,,EQ,ARIHANT.NS
NSE,STOCK,ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,,EQ,ARIHANTCAP.NS
NSE,STOCK,ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,,EQ,ARIHANTSUP.NS
NSE,STOCK,ARIS,Arisinfra Solutions Limited,INE0H9P01028,,EQ,ARIS.NS
NSE,STOCK,ARKADE,Arkade Developers Limited,INE0QRL01017,,EQ,ARKADE.NS
NSE,STOCK,ARMANFIN,Arman Financial Services Limited,INE109C01017,,EQ,ARMANFIN.NS
NSE,STOCK,AROGRANITE,Aro Granite Industries Limited,INE210C01013,,EQ,AROGRANITE.NS
NSE,STOCK,ARROWGREEN,Arrow Greentech Limited,INE570D01018,,BE,ARROWGREEN.NS
NSE,STOCK,ARSHIYA,Arshiya Limited,INE968D01022,,BZ,ARSHIYA.NS
NSE,STOCK,ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,,EQ,ARSSBL.NS
NSE,STOCK,ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,,EQ,ARTEMISMED.NS
NSE,STOCK,ARTNIRMAN,Art Nirman Limited,INE738V01013,,EQ,ARTNIRMAN.NS
NSE,STOCK,ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,,EQ,ARVEE.NS
NSE,STOCK,ARVIND,Arvind Limited,INE034A01011,,EQ,ARVIND.NS
NSE,STOCK,ARVINDFASN,Arvind Fashions Limited,INE955V01021,,EQ,ARVINDFASN.NS
NSE,STOCK,ARVSMART,Arvind SmartSpaces Limited,INE034S01021,,EQ,ARVSMART.NS
NSE,STOCK,ARYAMAN,Aryaman Financial Services Limited,INE032E01017,,EQ,ARYAMAN.NS
NSE,STOCK,ASAHIINDIA,Asahi India Glass Limited,INE439A01020,,EQ,ASAHIINDIA.NS
NSE,STOCK,ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,,BE,ASAHISONG.NS
NSE,STOCK,ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,,EQ,ASAL.NS
NSE,STOCK,ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,,EQ,ASALCBR.NS
NSE,STOCK,ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,,EQ,ASHAPURMIN.NS
NSE,STOCK,ASHIANA,Ashiana Housing Limited,INE365D01021,,EQ,ASHIANA.NS
NSE,STOCK,ASHIKAG,Ashika Global Securities Limited,INE094B01013,,BE,ASHIKAG.NS
NSE,STOCK,ASHIMASYN,Ashima Limited,INE440A01010,,EQ,ASHIMASYN.NS
NSE,STOCK,ASHOKA,Ashoka Buildcon Limited,INE442H01029,,EQ,ASHOKA.NS
NSE,STOCK,ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,,EQ,ASHOKAMET.NS
NSE,STOCK,ASHOKLEY,Ashok Leyland Limited,INE208A01029,,EQ,ASHOKLEY.NS
NSE,STOCK,ASIANENE,Asian Energy Services Limited,INE276G01015,,EQ,ASIANENE.NS
NSE,STOCK,ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,,EQ,ASIANHOTNR.NS
NSE,STOCK,ASIANPAINT,Asian Paints Limited,INE021A01026,,EQ,ASIANPAINT.NS
NSE,STOCK,ASIANTILES,Asian Granito India Limited,INE022I01019,,EQ,ASIANTILES.NS
NSE,STOCK,ASIANTNE,Asian Tea & Exports Limited,INE822B01017,,EQ,ASIANTNE.NS
NSE,STOCK,ASKAUTOLTD,ASK Automotive Limited,INE491J01022,,EQ,ASKAUTOLTD.NS
NSE,STOCK,ASMS,Avio Smart Market Stack Limited,INE855F01042,,BE,ASMS.NS
NSE,STOCK,ASPINWALL,Aspinwall and Company Limited,INE991I01015,,EQ,ASPINWALL.NS
NSE,STOCK,ASSAMENT,Assam Entrade Limited,INE165G01010,,EQ,ASSAMENT.NS
NSE,STOCK,ASTAR,Asian Star Company Limited,INE194D01017,,EQ,ASTAR.NS
NSE,STOCK,ASTEC,Astec LifeSciences Limited,INE563J01010,,EQ,ASTEC.NS
NSE,STOCK,ASTERDM,Aster DM Quality Care Limited,INE914M01019,,EQ,ASTERDM.NS
NSE,STOCK,ASTRAL,Astral Limited,INE006I01046,,EQ,ASTRAL.NS
NSE,STOCK,ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,,EQ,ASTRAMICRO.NS
NSE,STOCK,ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,,EQ,ASTRAZEN.NS
NSE,STOCK,ASTRON,Astron Paper & Board Mill Limited,INE646X01014,,BZ,ASTRON.NS
NSE,STOCK,ATALREAL,Atal Realtech Limited,INE0ALR01029,,EQ,ATALREAL.NS
NSE,STOCK,ATAM,Atam Valves Limited,INE09KD01013,,EQ,ATAM.NS
NSE,STOCK,ATGL,Adani Total Gas Limited,INE399L01023,,EQ,ATGL.NS
NSE,STOCK,ATHERENERG,Ather Energy Limited,INE0LEZ01016,,EQ,ATHERENERG.NS
NSE,STOCK,ATL,Allcargo Terminals Limited,INE0NN701020,,EQ,ATL.NS
NSE,STOCK,ATLANTAA,ATLANTAA LIMITED,INE285H01022,,EQ,ATLANTAA.NS
NSE,STOCK,ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,,EQ,ATLANTAELE.NS
NSE,STOCK,ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,,EQ,ATLASCYCLE.NS
NSE,STOCK,ATUL,Atul Limited,INE100A01010,,EQ,ATUL.NS
NSE,STOCK,ATULAUTO,Atul Auto Limited,INE951D01028,,EQ,ATULAUTO.NS
NSE,STOCK,AUBANK,AU Small Finance Bank Limited,INE949L01017,,EQ,AUBANK.NS
