variant,symbol,exchange,signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,data_symbol
CURRENT,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,GROWW.BO
CURRENT,GROWW,BSE,2026-04-08,2026-04-09,2026-04-10,LONG,182.0500030517578,177.49875297546387,191.15250320434572,191.15250320434572,TARGET,2,5.000000000000009,4.8500000000000085,BEAR,65.43438873452673,GROWW.BO
CURRENT,GROWW,BSE,2026-07-15,2026-07-16,2026-07-16,LONG,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,GROWW.BO
LONG_RSI_ZONE,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,GROWW.BO
LONG_RSI_ZONE,GROWW,BSE,2026-07-15,2026-07-16,2026-07-16,LONG,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,GROWW.BO
SHORT_RSI_ZONE,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,GROWW.BO
SHORT_RSI_ZONE,GROWW,BSE,2026-04-08,2026-04-09,2026-04-10,LONG,182.0500030517578,177.49875297546387,191.15250320434572,191.15250320434572,TARGET,2,5.000000000000009,4.8500000000000085,BEAR,65.43438873452673,GROWW.BO
SHORT_RSI_ZONE,GROWW,BSE,2026-07-15,2026-07-16,2026-07-16,LONG,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,GROWW.BO
BOTH_RSI_ZONE,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,GROWW.BO
BOTH_RSI_ZONE,GROWW,BSE,2026-07-15,2026-07-16,2026-07-16,LONG,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,GROWW.BO
