dataset,regime,trades,wins,losses,win_rate,avg_net,avg_gross,average_winner,average_loser,profit_factor,expectancy,compounded,max_drawdown,avg_holding,median_holding,target_exits,stop_exits,time_exits
BASELINE,BULL,116,39,77,33.62068965517241,-0.1783728448275784,-0.028372844827578434,4.799807692307704,-2.6997889610389545,0.9004672082353764,-0.1783728448275784,-24.34804295304729,-65.361870936859,5.801724137931035,4.0,39,77,0
BASELINE,BEAR,80,34,46,42.5,0.48712500000000986,0.6371250000000097,4.799411764705892,-2.7002173913043377,1.3137428548426129,0.48712500000000986,39.748366863671755,-32.90010965681446,3.375,2.0,34,46,0
BASELINE,NEUTRAL,221,73,148,33.03167420814479,-0.24165375806942033,-0.0916537580694204,4.742185198173382,-2.69989864864864,0.86634763433727,-0.24165375806942033,-48.776836485262955,-68.01507366995966,3.8099547511312215,2.0,71,148,2
BASELINE,UNKNOWN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
REGIME_FILTERED,BULL,62,20,42,32.25806451612903,-0.28060483870967295,-0.13060483870967315,4.797500000000008,-2.698749999999998,0.8465118330796907,-0.28060483870967295,-19.091887393068685,-39.61182009263189,5.258064516129032,3.0,20,42,0
REGIME_FILTERED,BEAR,40,13,27,32.5,-0.2625312499999876,-0.11253124999998758,4.802500000000009,-2.7012499999999866,0.8560165903988267,-0.2625312499999876,-12.15290622701579,-27.733276736162928,3.675,3.0,13,27,0
REGIME_FILTERED,NEUTRAL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
REGIME_FILTERED,UNKNOWN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
