period,current_all_avg,current_short_avg,current_short_advantage,ema_macd_all_avg,ema_macd_short_avg,ema_macd_short_advantage
P1,0.0,0.0,0.0,0.0,0.0,0.0
P2,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0
P5,-0.5615758332451121,-0.9732994393528768,-0.4117236061077647,-0.49572945851031075,-0.4694960276503911,0.026233430859919638
P6,0.21430900985110643,0.834007435832652,0.6196984259815456,0.5055481388096019,0.8917301854783711,0.3861820466687692
P7,0.12105085537168507,0.173205133516113,0.052154278144427926,-0.12718290505114854,0.1303741978711685,0.25755710292231704
