exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,AIRFLOA,Airfloa Rail Technology,,544516,M,AIRFLOA.BO,AIRFLOA.BO,data_symbol,240,2026-09-04,
BSE,STOCK,AJANTPHARM,Ajanta Pharma,,532331,A,532331.BO,532331.BO,symbol,211,2026-07-17,
BSE,STOCK,AJANTSOY,Ajanta Soya,,519216,X,AJANTSOY.BO,AJANTSOY.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AJAXENGG,Ajax Engineering,,544356,B,AJAXENGG.BO,AJAXENGG.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AJCJEWEL,AJC Jewel Manufacturers,,544425,MT,AJCJEWEL.BO,AJCJEWEL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AJCON,Ajcon Global Services,,511692,X,AJCON.BO,AJCON.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AJMERA,Ajmera Realty & Infra,,513349,B,AJMERA.BO,AJMERA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AJWAFUN,Ajwa Fun World & Resort,,526628,P,AJWAFUN.BO,AJWAFUN.BO,data_symbol,250,2026-09-03,
BSE,STOCK,AKCAPIT,AK Capital Services,,530499,B,AKCAPIT.BO,AKCAPIT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AKI,AKI India,,542020,B,AKI.BO,AKI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AKSHAR,Akshar Spintex,,541303,B,AKSHAR.BO,AKSHAR.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AKSHARCHEM,AksharChem,,524598,T,AKSHARCHEM.BO,AKSHARCHEM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AKSHOPTFBR,Aksh Optifibre,,532351,T,AKSHOPTFBR.BO,AKSHOPTFBR.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AKUMS,Akums Drugs & Pharma,,544222,B,AKUMS.BO,AKUMS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALANKIT,Alankit,,531082,B,ALANKIT.BO,ALANKIT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALANSCOTT,Alan Scott Enterprises,,539115,XT,ALANSCOTT.BO,ALANSCOTT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALBERTDAVD,Albert David,,524075,B,ALBERTDAVD.BO,ALBERTDAVD.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALEXANDER,Alexander Stamps & Coin,,511463,X,ALEXANDER.BO,ALEXANDER.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALFAICA,Alfa ICA,,530973,X,ALFAICA.BO,ALFAICA.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ALFATRAN,Alfa Transformers,,517546,X,ALFATRAN.BO,ALFATRAN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALFAVIO,Alfavision Overseas,,531156,XT,ALFAVIO.BO,ALFAVIO.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALFL,Abhinav Leasing & Finance,,538952,X,ALFL.BO,ALFL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALFREDHE,Alfred Herbert,,505216,B,ALFREDHE.BO,ALFREDHE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALGOQUANT,Algoquant Fintech,,505725,B,ALGOQUANT.BO,ALGOQUANT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALICON,Alicon Castalloy,,531147,B,ALICON.BO,ALICON.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALIVUS,Alivus Life Sciences,,543322,A,ALIVUS.BO,ALIVUS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALKALI,Alkali Metals,,533029,T,ALKALI.BO,ALKALI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALKEM,Alkem Laboratories,,539523,A,ALKEM.BO,ALKEM.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ALKOSIGN,Alkosign,,543453,M,ALKOSIGN.BO,ALKOSIGN.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ALKYLAMINE,Alkyl Amines Chemicals,,506767,A,506767.BO,506767.BO,symbol,211,2026-07-17,
BSE,STOCK,ALLCARGO,Allcargo Logistics,,532749,B,ALLCARGO.BO,ALLCARGO.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALLDIGI,Alldigi Tech,,532633,B,ALLDIGI.BO,ALLDIGI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALLTIME,All Time Plastics,,544479,B,ALLTIME.BO,ALLTIME.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALMONDZ,Almondz Global Securities,,531400,B,ALMONDZ.BO,ALMONDZ.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALNATRD,Alna Trading & Exports,,506120,P,ALNATRD.BO,ALNATRD.BO,data_symbol,251,2026-09-03,
BSE,STOCK,ALOKINDS,Alok Industries,,521070,A,ALOKINDS.BO,ALOKINDS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALPA,Alpa Laboratories,,532878,B,ALPA.BO,ALPA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALPHAGEO,Alphageo,,526397,T,ALPHAGEO.BO,ALPHAGEO.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALPHAIND,Alphalogic Industries,,543937,M,ALPHAIND.BO,ALPHAIND.BO,data_symbol,250,2026-09-03,
BSE,STOCK,ALPHALOGIC,Alphalogic Techsys,,542770,B,ALPHALOGIC.BO,ALPHALOGIC.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ALPINEHOU,Alpine Housing Development,,526519,XT,ALPINEHOU.BO,ALPINEHOU.BO,data_symbol,250,2026-09-04,
