variant,regime,trades,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
CURRENT,BULL,117,39.31623931623932,0.1591901839230134,1.1039799991077508,12.48788511870651,-27.060358966108776
CURRENT,BEAR,133,39.097744360902254,0.15403430202762042,1.0954417058917938,12.950567668557134,-29.06359958624638
CURRENT,NEUTRAL,84,35.714285714285715,-0.3602833046767112,0.7850078853787378,-29.24332066760621,-40.96881056814211
LONG_RSI_ZONE,BULL,99,40.4040404040404,0.32578939625857906,1.2189275368223391,29.93407387421405,-20.35319849553773
LONG_RSI_ZONE,BEAR,114,41.228070175438596,0.3273603764491786,1.2101891462416579,34.945702431636924,-17.019294820984364
LONG_RSI_ZONE,NEUTRAL,68,32.35294117647059,-0.6580897241737327,0.6257320437232302,-38.121176252059264,-44.6692043596049
EMA_MACD,BULL,185,41.62162162162162,0.07452348455092803,1.0494563639159495,3.7626950738901765,-27.30432992552697
EMA_MACD,BEAR,176,42.04545454545455,0.44908145637184016,1.2924096793246174,95.919203502018,-21.969579155721686
EMA_MACD,NEUTRAL,127,36.22047244094488,-0.18943503952844698,0.8819489598668315,-26.4486728845295,-47.0338093418602
