trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,period,regime
112,39,73,34.82142857142857,-0.014518958069565364,0.1354810419304347,4.776945940325963,-2.5743426709110113,0.9913470487253012,-8.16293208975749,-39.34598521163652,3.517857142857143,34,72,6,CURRENT,PERIOD_1,NEUTRAL
166,60,106,36.144578313253014,0.03870940356409237,0.1887094035640924,4.6753714693877475,-2.585816294071939,1.0234434235922143,-3.7648415898862586,-47.79759222116606,3.5120481927710845,51,105,10,EMA_MACD,PERIOD_1,NEUTRAL
44,15,29,34.090909090909086,-0.06320452687425417,0.08679547312574588,4.236349895292538,-2.2871119866156984,0.9580709103469602,-4.925201526711809,-31.78618215206268,6.863636363636363,11,24,9,CURRENT,PERIOD_2,BULL
4,0,4,0.0,-2.5890243902438934,-2.439024390243893,0.0,-2.5890243902438934,0.0,-9.96081153370838,-7.567717187226464,2.0,0,4,0,CURRENT,PERIOD_2,BEAR
60,21,39,35.0,-0.2595057728388596,-0.10950577283885961,4.039564383557224,-2.5743897032059815,0.8449187199497672,-17.104859459490008,-37.43842003385341,4.316666666666666,15,37,8,CURRENT,PERIOD_2,NEUTRAL
44,15,29,34.090909090909086,-0.06320452687425417,0.08679547312574588,4.236349895292538,-2.2871119866156984,0.9580709103469602,-4.925201526711809,-31.78618215206268,6.863636363636363,11,24,9,CURRENT_REGIME,PERIOD_2,BULL
4,0,4,0.0,-2.5890243902438934,-2.439024390243893,0.0,-2.5890243902438934,0.0,-9.96081153370838,-7.567717187226464,2.0,0,4,0,CURRENT_REGIME,PERIOD_2,BEAR
58,19,39,32.758620689655174,-0.18717416785459667,-0.03717416785459659,4.153816940263655,-2.302015989758361,0.8790792139578205,-12.871441174502174,-35.06002976313176,6.310344827586207,14,32,12,EMA_MACD,PERIOD_2,BULL
2,0,2,0.0,-2.5890243902438934,-2.439024390243893,0.0,-2.5890243902438934,0.0,-5.111018307555004,-2.589024390243888,7.5,0,2,0,EMA_MACD,PERIOD_2,BEAR
98,33,65,33.6734693877551,-0.20736543567363575,-0.05736543567363587,4.30466060488237,-2.4980863485713005,0.8748468913313541,-22.661442020789845,-39.403218571291376,4.173469387755102,26,60,12,EMA_MACD,PERIOD_2,NEUTRAL
58,19,39,32.758620689655174,-0.18717416785459667,-0.03717416785459659,4.153816940263655,-2.302015989758361,0.8790792139578205,-12.871441174502174,-35.06002976313176,6.310344827586207,14,32,12,EMA_MACD_REGIME,PERIOD_2,BULL
2,0,2,0.0,-2.5890243902438934,-2.439024390243893,0.0,-2.5890243902438934,0.0,-5.111018307555004,-2.589024390243888,7.5,0,2,0,EMA_MACD_REGIME,PERIOD_2,BEAR
62,20,42,32.25806451612903,-0.4335958080523598,-0.2835958080523599,4.124066718996793,-2.6039112971233855,0.7541890143991805,-26.054837828047617,-49.2530179921972,4.516129032258065,14,41,7,CURRENT,PERIOD_3,BULL
26,11,15,42.30769230769231,0.6555198973042443,0.8055198973042447,5.113157894736855,-2.613414634146336,1.4347700796555147,16.33615152281882,-15.103730912350755,2.3461538461538463,11,15,0,CURRENT,PERIOD_3,BEAR
17,4,13,23.52941176470588,-0.8388544891640858,-0.6888544891640856,5.0473684210526395,-2.6500000000000012,0.5860514857535718,-14.117018670660675,-21.773734412995793,2.9411764705882355,4,13,0,CURRENT,PERIOD_3,NEUTRAL
62,20,42,32.25806451612903,-0.4335958080523598,-0.2835958080523599,4.124066718996793,-2.6039112971233855,0.7541890143991805,-26.054837828047617,-49.2530179921972,4.516129032258065,14,41,7,CURRENT_REGIME,PERIOD_3,BULL
26,11,15,42.30769230769231,0.6555198973042443,0.8055198973042447,5.113157894736855,-2.613414634146336,1.4347700796555147,16.33615152281882,-15.103730912350755,2.3461538461538463,11,15,0,CURRENT_REGIME,PERIOD_3,BEAR
97,39,58,40.20618556701031,0.13633321419965835,0.28633321419965835,4.174608401628618,-2.579058722174987,1.0884064972717455,7.769806744492502,-49.55351041016939,4.670103092783505,30,57,10,EMA_MACD,PERIOD_3,BULL
31,13,18,41.935483870967744,0.6206323243198546,0.7706323243198547,5.092914979757095,-2.60934959349593,1.4096295810409392,18.51242656036871,-14.61621145965557,2.4838709677419355,13,18,0,EMA_MACD,PERIOD_3,BEAR
44,17,27,38.63636363636363,0.3186223596685752,0.4686223596685755,5.004798761609913,-2.63193315266486,1.1972832924927013,11.633922780175165,-18.863263134379892,2.7954545454545454,17,27,0,EMA_MACD,PERIOD_3,NEUTRAL
97,39,58,40.20618556701031,0.13633321419965835,0.28633321419965835,4.174608401628618,-2.579058722174987,1.0884064972717455,7.769806744492502,-49.55351041016939,4.670103092783505,30,57,10,EMA_MACD_REGIME,PERIOD_3,BULL
31,13,18,41.935483870967744,0.6206323243198546,0.7706323243198547,5.092914979757095,-2.60934959349593,1.4096295810409392,18.51242656036871,-14.61621145965557,2.4838709677419355,13,18,0,EMA_MACD_REGIME,PERIOD_3,BEAR
13,8,5,61.53846153846154,1.8520795198113071,2.002079519811307,4.658257268473864,-2.6378048780487844,2.8255356154589464,25.902164472790457,-7.683399239939015,3.230769230769231,7,5,1,CURRENT,PERIOD_4,BULL
59,28,31,47.45762711864407,0.8848588510197617,1.0348588510197618,4.684087845517078,-2.5467028214294265,1.6612810046610311,61.76164012652343,-25.3923667938597,3.76271186440678,26,30,3,CURRENT,PERIOD_4,BEAR
38,16,22,42.10526315789473,0.23124833233818134,0.3812483323381814,4.170098935644644,-2.633370288248337,1.1516797464669246,6.721402440472346,-24.404325995703367,3.210526315789474,12,22,4,CURRENT,PERIOD_4,NEUTRAL
13,8,5,61.53846153846154,1.8520795198113071,2.002079519811307,4.658257268473864,-2.6378048780487844,2.8255356154589464,25.902164472790457,-7.683399239939015,3.230769230769231,7,5,1,CURRENT_REGIME,PERIOD_4,BULL
59,28,31,47.45762711864407,0.8848588510197617,1.0348588510197618,4.684087845517078,-2.5467028214294265,1.6612810046610311,61.76164012652343,-25.3923667938597,3.76271186440678,26,30,3,CURRENT_REGIME,PERIOD_4,BEAR
21,10,11,47.61904761904761,0.9715538847117754,1.1215538847117752,4.955263157894737,-2.650000000000008,1.6999187505642273,20.70755637188768,-10.186044534493755,3.142857142857143,10,11,0,EMA_MACD,PERIOD_4,BULL
92,41,51,44.565217391304344,0.6661749188817694,0.8161749188817694,4.749531108876876,-2.6165231946437078,1.4592840251175783,73.22709621008272,-27.096086544977428,4.304347826086956,39,51,2,EMA_MACD,PERIOD_4,BEAR
60,20,40,33.33333333333333,-0.27831631012739116,-0.12831631012739106,4.213939864159793,-2.5244443972709836,0.8346271893956579,-18.059642346013373,-29.044341004355434,3.3333333333333335,15,38,7,EMA_MACD,PERIOD_4,NEUTRAL
5,2,3,40.0,0.40263157894737117,0.5526315789473712,4.9815789473684315,-2.650000000000002,1.2532274081430006,1.6794962852949125,-7.741185962499985,3.6,2,3,0,EMA_MACD,PERIOD_4,UNKNOWN
21,10,11,47.61904761904761,0.9715538847117754,1.1215538847117752,4.955263157894737,-2.650000000000008,1.6999187505642273,20.70755637188768,-10.186044534493755,3.142857142857143,10,11,0,EMA_MACD_REGIME,PERIOD_4,BULL
92,41,51,44.565217391304344,0.6661749188817694,0.8161749188817694,4.749531108876876,-2.6165231946437078,1.4592840251175783,73.22709621008272,-27.096086544977428,4.304347826086956,39,51,2,EMA_MACD_REGIME,PERIOD_4,BEAR
