regime,baseline_trades,filtered_trades,baseline_win_rate,filtered_win_rate,baseline_avg_net,filtered_avg_net,baseline_profit_factor,filtered_profit_factor,baseline_compounded,filtered_compounded,baseline_max_drawdown,filtered_max_drawdown,baseline_avg_holding,filtered_avg_holding,baseline_target_exits,filtered_target_exits,baseline_stop_exits,filtered_stop_exits,trade_change,trade_reduction_pct,win_rate_change,avg_net_change,profit_factor_change
BULL,116,62,33.62068965517241,32.25806451612903,-0.1783728448275784,-0.28060483870967295,0.9004672082353764,0.8465118330796907,-24.34804295304729,-19.091887393068685,-65.361870936859,-39.61182009263189,5.801724137931035,5.258064516129032,39,20,77,42,-54,46.55172413793103,-1.3626251390433808,-0.10223199388209456,-0.053955375155685714
BEAR,80,40,42.5,32.5,0.48712500000000986,-0.2625312499999876,1.3137428548426129,0.8560165903988267,39.748366863671755,-12.15290622701579,-32.90010965681446,-27.733276736162928,3.375,3.675,34,13,46,27,-40,50.0,-10.0,-0.7496562499999975,-0.45772626444378617
