trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,regime_test,direction
234,86,148,36.75213675213676,-0.018119392806510985,0.13188060719348882,4.406261015077482,-2.589043143333696,0.9889348197071128,-0.018119392806510985,-16.454334464302033,-33.708514774748075,3.8076923076923075,73,143,18,CURRENT,ALL,LONG
201,76,125,37.81094527363184,0.17352022393331515,0.32352022393331525,4.602581454723343,-2.5193490043870215,1.1107510390973636,0.17352022393331515,25.25987581217064,-27.739959074400346,4.223880597014926,61,120,20,CURRENT,ALL,SHORT
112,45,67,40.17857142857143,0.2621424455031694,0.4121424455031694,4.425795771870232,-2.5343411319075453,1.172908162043657,0.2621424455031694,25.29357354579471,-22.541072625068516,4.089285714285714,39,63,10,CURRENT,BULL_BEAR,LONG
96,37,59,38.54166666666667,0.2494503391518672,0.3994503391518672,4.635973722690214,-2.5014202573043844,1.1622619375603978,0.2494503391518672,19.70199434538753,-18.15052064366417,4.760416666666667,30,56,10,CURRENT,BULL_BEAR,SHORT
68,23,45,33.82352941176471,-0.22949868923216976,-0.07949868923216971,4.16934543347904,-2.477796796395676,0.8600377481363136,-0.22949868923216976,-17.49225109463349,-23.14199112930373,4.720588235294118,18,41,9,CURRENT,BULL_ONLY,LONG
51,20,31,39.21568627450981,0.19645108516903992,0.34645108516904005,4.369884799354848,-2.4960867949508363,1.1294801612731318,0.19645108516903992,7.278733437948337,-15.306025777846932,5.9411764705882355,14,29,8,CURRENT,BULL_ONLY,SHORT
44,22,22,50.0,1.0219514719123295,1.1719514719123298,4.693902943824665,-2.650000000000004,1.771284129745154,1.0219514719123295,51.85673492256091,-17.13870984735553,3.1136363636363638,21,22,1,CURRENT,BEAR_ONLY,LONG
45,17,28,37.77777777777778,0.3095161603324047,0.45951616033240483,4.949019514849468,-2.5073251620529553,1.1983933690679411,0.3095161603324047,11.580357550198705,-15.318329031370103,3.422222222222222,16,27,2,CURRENT,BEAR_ONLY,SHORT
122,41,81,33.60655737704918,-0.27540894928752924,-0.1254089492875292,4.38482042835373,-2.6342904861182896,0.8425331293721331,-0.27540894928752924,-33.32007127631162,-44.934225244469076,3.5491803278688523,34,80,8,CURRENT,NEUTRAL_ONLY,LONG
105,39,66,37.142857142857146,0.10409840430492476,0.2540984043049248,4.570901610754774,-2.5353762176881673,1.0653201274834252,0.10409840430492476,4.64309846897506,-21.17936572981679,3.7333333333333334,31,64,10,CURRENT,NEUTRAL_ONLY,SHORT
350,132,218,37.714285714285715,0.09571128844812689,0.24571128844812676,4.498417957104495,-2.570147795325454,1.0597883565005712,0.09571128844812689,13.184915283630616,-56.06205797202309,3.894285714285714,116,209,25,EMA_MACD,ALL,LONG
324,122,202,37.65432098765432,0.15450326506971407,0.3045032650697141,4.592885272296377,-2.526103689789954,1.0981025122730559,0.15450326506971407,35.03809646074001,-56.14445146044456,4.145061728395062,101,195,28,EMA_MACD,ALL,SHORT
169,72,97,42.60355029585799,0.463606040765262,0.6136060407652619,4.489932216744749,-2.525007203260749,1.3198905680374706,0.463606040765262,96.63565598316892,-32.807400155134836,4.284023668639053,65,91,13,EMA_MACD,BULL_BEAR,LONG
132,50,82,37.878787878787875,0.1497808828937026,0.2997808828937027,4.578968634052902,-2.5509433556180046,1.0945182451837672,0.1497808828937026,12.285925560487886,-32.688887829122216,4.916666666666667,41,80,11,EMA_MACD,BULL_BEAR,SHORT
106,38,68,35.84905660377358,-0.059117395045408146,0.09088260495459173,4.258138285302085,-2.4717014517101847,0.9627165383058087,-0.059117395045408146,-11.477166867165478,-46.904752658367876,4.632075471698113,32,62,12,EMA_MACD,BULL_ONLY,LONG
70,30,40,42.857142857142854,0.41481850707944007,0.56481850707944,4.315854208866454,-2.5109582692608208,1.2891057156448564,0.41481850707944007,28.037382680662446,-14.562730940194502,5.628571428571429,22,38,10,EMA_MACD,BULL_ONLY,SHORT
63,34,29,53.96825396825397,1.343108964510199,1.493108964510199,4.748996022474783,-2.650000000000004,2.101052241563336,1.343108964510199,122.12987206148695,-7.741185962499997,3.6984126984126986,33,29,1,EMA_MACD,BEAR_ONLY,LONG
62,20,42,32.25806451612903,-0.14945514441277516,0.0005448555872250822,4.973640271832572,-2.5890243902438934,0.9147847885747311,-0.14945514441277516,-12.302232981019468,-26.46325997155402,4.112903225806452,19,42,1,EMA_MACD,BEAR_ONLY,SHORT
177,59,118,33.33333333333333,-0.23587836120047947,-0.0858783612004796,4.502814419189346,-2.605224751395391,0.8641892444745087,-0.23587836120047947,-40.49547723864792,-52.27610269786715,3.5480225988700567,50,115,12,EMA_MACD,NEUTRAL_ONLY,LONG
191,71,120,37.17277486910995,0.1318053583554018,0.281805358355402,4.595357938348961,-2.509129918140787,1.0836107344883115,0.1318053583554018,14.412611992473368,-42.55472526506302,3.5968586387434556,59,115,17,EMA_MACD,NEUTRAL_ONLY,SHORT
