exchange,symbol,name,data_symbol,avg_volume,start_date_requested,end_date_requested,rows,first_date,last_date,historical_status,error,downloaded_at
NSE,URBANCO,Urban Company Limited,URBANCO.NS,15586038.85,2021-01-01,2026-09-06,243,2025-09-17,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:56
NSE,INOXWIND,Inox Wind Limited,INOXWIND.NS,15250400.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:56
NSE,TEMPSENS,Tempsens Instruments (India) Limited,TEMPSENS.NS,15228841.5,2021-01-01,2026-09-06,6,2026-08-28,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:56
NSE,ARDEE,Ardee Industries Limited,ARDEE.NS,15132997.388888888,2021-01-01,2026-09-06,18,2026-08-12,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:57
NSE,FCL,Fineotex Chemical Limited,FCL.NS,14882900.7,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:57
NSE,UJJIVANSFB,Ujjivan Small Finance Bank Limited,UJJIVANSFB.NS,14874638.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:58
NSE,MEESHO,Meesho Limited,MEESHO.NS,14790917.55,2021-01-01,2026-09-06,186,2025-12-10,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:58
NSE,LENSKART,Lenskart Solutions Limited,LENSKART.NS,14629269.6,2021-01-01,2026-09-06,208,2025-11-10,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:59
NSE,TFCILTD,Tourism Finance Corporation of India Limited,TFCILTD.NS,14589086.75,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:59
NSE,ITC,ITC Limited,ITC.NS,14097168.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:00
NSE,IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS,13931522.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:01
