trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,median_holding_days,target_exits,stop_exits,time_exits,symbol,exchange
3,3,0,100.0,4.802500000000012,4.802500000000014,4.952500000000012,4.802500000000012,0.0,inf,4.802500000000012,15.110496676501594,0.0,6.666666666666667,8.0,3,0,0,VMM.BO,BSE
3,3,0,100.0,4.80250000000001,4.802500000000009,4.952500000000011,4.80250000000001,0.0,inf,4.80250000000001,15.110496676501572,0.0,7.0,8.0,3,0,0,VMM.NS,NSE
1,1,0,100.0,4.797500000000013,4.797500000000013,4.947500000000013,4.797500000000013,0.0,inf,4.797500000000013,4.79750000000001,0.0,1.0,1.0,1,0,0,AYE.BO,BSE
1,1,0,100.0,4.79750000000001,4.79750000000001,4.94750000000001,4.79750000000001,0.0,inf,4.79750000000001,4.79750000000001,0.0,1.0,1.0,1,0,0,PWL.NS,NSE
1,1,0,100.0,4.797500000000009,4.797500000000009,4.94750000000001,4.797500000000009,0.0,inf,4.797500000000009,4.79750000000001,0.0,1.0,1.0,1,0,0,PWL.BO,BSE
1,1,0,100.0,4.797499999999996,4.797499999999996,4.947499999999996,4.797499999999996,0.0,inf,4.797499999999996,4.797499999999988,0.0,2.0,2.0,1,0,0,LENSKART.NS,NSE
4,3,1,75.0,2.9240625000000167,4.797500000000014,3.074062500000017,4.799166666666683,-2.701249999999985,5.329939842665481,2.9240625000000167,11.9903877694729,-2.7012499999999884,4.0,3.5,3,1,0,IOC.BO,BSE
6,4,2,66.66666666666666,2.300416666666676,4.79750000000001,2.4504166666666762,4.8000000000000105,-2.6987499999999933,3.5572024085224805,2.300416666666676,14.204171938887388,-2.698749999999994,14.666666666666666,13.0,4,2,0,HDFCBANK.NS,NSE
3,2,1,66.66666666666666,2.299583333333347,4.797499999999999,2.449583333333347,4.8000000000000105,-2.70124999999998,3.5539102267469107,2.299583333333347,6.863606259188337,-2.701249999999966,1.6666666666666667,2.0,2,1,0,PINELABS.NS,NSE
3,2,1,66.66666666666666,2.2995833333333437,4.797500000000007,2.449583333333344,4.800000000000008,-2.701249999999983,3.5539102267469045,2.2995833333333437,6.863606259188293,0.0,11.666666666666666,9.0,2,1,0,NTPC.BO,BSE
7,4,3,57.14285714285714,1.5873214285714388,4.802500000000008,1.7373214285714391,4.802500000000011,-2.699583333333324,2.3719709831764297,1.5873214285714388,11.129835230401985,-5.32466748437499,4.142857142857143,2.0,4,3,0,INOXWIND.BO,BSE
