symbol,exchange,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,raw_exit_price,exit_reason,holding_days,gross_pnl_pct,transaction_cost_pct,net_pnl_pct,pnl_pct,signal_close,rsi,ema_5,ema_13,ema_26,macd,macd_signal,macd_histogram,extension_pct,risk_reward,market_regime,display_symbol,data_symbol
SAMMAANCAP.BO,BSE,LONG,2025-06-25,2025-06-26,2025-07-01,143.2715969467163,139.6898070230484,150.43517679405213,139.61996211953686,139.6898070230484,STOP_LOSS,4,-2.5487500000000027,0.15,-2.6987500000000026,-2.6987500000000026,143.1999969482422,72.04926449581491,129.89320774789616,126.79830750809882,125.24089604445751,1.728334074805531,1.0294352662942525,0.6988988085112784,10.244407256592336,2.0,BULL,SAMMAANCAP,SAMMAANCAP.BO
ASHOKLEY.NS,NSE,LONG,2025-06-25,2025-06-26,2025-08-01,122.41117347335815,119.35089413652419,128.53173214702605,119.29121868945593,119.35089413652419,STOP_LOSS,27,-2.54875,0.15,-2.69875,-2.69875,122.30500030517578,63.9133725745053,119.82680189639827,118.92077306844097,118.14476695997138,0.8226081181904306,0.7949992320572665,0.027608886133164035,2.068150338285883,2.0,BULL,ASHOKLEY,ASHOKLEY.NS
NORTHARC.BO,BSE,LONG,2025-06-25,2025-06-26,2025-06-30,240.11999999999998,234.11699999999996,252.12599999999998,233.99994149999998,234.11699999999996,STOP_LOSS,3,-2.54875,0.15,-2.69875,-2.69875,243.39999389648438,64.40860698378728,230.24332097304637,224.44967355754844,220.18065026731995,4.682607202411646,3.5472456054961268,1.1353615969155189,5.714247374401886,2.0,BULL,NORTHARC,NORTHARC.BO
IOC.BO,BSE,LONG,2025-06-26,2025-06-27,2025-07-07,146.2730969467163,142.61626952304837,153.5867517940521,153.5099584181551,153.5867517940521,TARGET,7,4.947500000000008,0.15,4.797500000000007,4.797500000000007,146.1999969482422,60.74335367568001,142.88903872364006,141.97696091368857,141.6435231410577,0.36060859742650564,0.17925317123986168,0.18135542618664396,2.317153403912119,2.0,BULL,IOC,IOC.BO
TATASTEEL.NS,NSE,LONG,2025-06-26,2025-06-27,2025-07-16,161.0805,157.0534875,169.134525,156.97496075625,157.0534875,STOP_LOSS,14,-2.548750000000001,0.15,-2.698750000000001,-2.698750000000001,160.5399932861328,63.63295397188861,156.33881080932684,155.21410721421955,154.83204605836204,0.390305298136866,0.28982308495388687,0.10048221318297912,2.6872293930454627,2.0,BULL,TATASTEEL,TATASTEEL.NS
LLOYDSENGG.BO,BSE,LONG,2025-06-26,2025-06-27,2025-06-27,64.54225713729858,62.92870070886611,67.76936999416351,67.73548530916644,67.76936999416351,TARGET,1,4.9475000000000176,0.15,4.797500000000017,4.797500000000017,64.25,63.07204416896461,60.45322230278144,59.4687857255846,58.62803026269332,0.9141188222588426,0.8235661625555362,0.09055265970330639,6.280521620836529,2.0,BULL,LLOYDSENGG,LLOYDSENGG.BO
CUPID.NS,NSE,LONG,2025-06-27,2025-06-30,2025-07-11,21.41069961833954,20.87543212788105,22.481234599256517,22.46999398195689,22.481234599256517,TARGET,10,4.9475000000000104,0.15,4.79750000000001,4.79750000000001,21.399999618530273,66.01451523595186,20.381783056713935,19.84673832081943,19.54932756405928,0.31500206183142154,0.25308890074513196,0.06191316108628958,4.995718769957807,2.0,BULL,CUPID,CUPID.NS
500470.BO,BSE,LONG,2025-06-27,2025-06-30,2025-07-16,161.0805,157.0534875,169.134525,156.97496075625,157.0534875,STOP_LOSS,12,-2.548750000000001,0.15,-2.698750000000001,-2.698750000000001,161.39999389648438,65.03304555602622,158.0798481544019,156.27956969536584,155.33330310428013,1.021570497032684,0.7090750726219464,0.31249542441073763,2.1002966417576365,2.0,BULL,TATASTEEL,500470.BO
ADANIPOWER.NS,NSE,LONG,2025-06-27,2025-06-30,2025-07-10,117.95895152664184,115.0099777384758,123.85689910297394,123.79497065342247,123.85689910297394,TARGET,9,4.947500000000018,0.15,4.797500000000018,4.797500000000018,116.87000274658203,61.28961442458809,113.39808935163003,111.93102492974326,111.26604272783955,0.7335588536259507,0.42129853717783017,0.3122603164481206,3.0617036096491255,2.0,BULL,ADANIPOWER,ADANIPOWER.NS
CUPID.BO,BSE,LONG,2025-06-27,2025-06-30,2025-07-11,21.41069961833954,20.87543212788105,22.481234599256517,22.46999398195689,22.481234599256517,TARGET,10,4.9475000000000104,0.15,4.79750000000001,4.79750000000001,21.399999618530273,65.98504002126299,20.381974591315874,19.845920801931804,19.546029983256112,0.3177115891165272,0.25574833256646834,0.061963256550058854,4.9947320984697345,2.0,BULL,CUPID,CUPID.BO
ADANIPOWER.BO,BSE,LONG,2025-06-27,2025-06-30,2025-07-10,118.03899335861206,115.08801852464676,123.94094302654267,123.8789725550294,123.94094302654267,TARGET,9,4.947500000000012,0.15,4.797500000000012,4.797500000000012,116.8499984741211,61.392871525943534,113.38988049080575,111.93963018231818,111.27675497786886,0.7307613829337214,0.4250428930079117,0.3057184899258097,3.051522735837002,2.0,BULL,ADANIPOWER,ADANIPOWER.BO
PFC.BO,BSE,LONG,2025-06-30,2025-07-01,2025-07-02,428.8643188934326,418.14271092109675,450.30753483810423,417.9336395656362,418.14271092109675,STOP_LOSS,2,-2.548750000000005,0.15,-2.698750000000005,-2.698750000000005,427.5,60.04950078265352,419.86900395405377,414.7002783297889,412.8983339247967,2.096707739315832,0.2751225525244314,1.8215851867914006,1.8174706811130295,2.0,BULL,PFC,PFC.BO
ICICIPRULI.BO,BSE,LONG,2025-06-30,2025-07-01,2025-07-03,660.2799872131347,643.7729875328064,693.2939865737915,643.45110103904,643.7729875328064,STOP_LOSS,3,-2.5487499999999876,0.15,-2.6987499999999875,-2.6987499999999875,657.6500244140625,63.24381748836448,646.5005275671928,640.3843895214687,635.599107747149,5.152382759303691,4.357119159504049,0.7952635997996422,1.7245920724652368,2.0,BULL,ICICIPRULI,ICICIPRULI.BO
IDBI.NS,NSE,LONG,2025-06-30,2025-07-01,2025-07-04,103.49172244262695,100.90442938156127,108.66630856475831,100.8539771668705,100.90442938156127,STOP_LOSS,4,-2.5487500000000036,0.15,-2.6987500000000035,-2.6987500000000035,103.43000030517578,69.01431732355476,98.58235347270679,96.15234661897352,94.52267988112123,1.7569267485786924,1.4278833051939674,0.3290434433847249,4.917357581457113,2.0,BULL,IDBI,IDBI.NS
500112.BO,BSE,LONG,2025-06-30,2025-07-01,2025-07-28,820.7601505737305,800.2411468093871,861.798158102417,799.8410262359824,800.2411468093871,STOP_LOSS,19,-2.548750000000009,0.15,-2.698750000000009,-2.698750000000009,820.3499755859375,62.862313565191,806.4499005645498,802.2579555800845,800.2317971706182,2.1925857802240216,1.4918801853466728,0.7007055948773488,1.723612962399405,2.0,BULL,SBIN,500112.BO
KALYANKJIL.BO,BSE,LONG,2025-07-01,2025-07-02,2025-07-17,570.285,556.027875,598.79925,598.499850375,598.79925,TARGET,12,4.947500000000015,0.15,4.7975000000000145,4.7975000000000145,570.0499877929688,63.93540801753059,552.6369985144424,541.4259634298903,538.9908832717176,2.94325151204589,-1.3972423871743958,4.340493899220286,3.1508909691777083,2.0,BULL,KALYANKJIL,KALYANKJIL.BO
PNB.NS,NSE,LONG,2025-07-01,2025-07-02,2025-07-03,113.15654847335814,110.32763476152418,118.81437589702605,110.27247094414342,110.32763476152418,STOP_LOSS,2,-2.5487500000000054,0.15,-2.6987500000000053,-2.6987500000000053,113.06999969482422,70.76306937398701,109.2534172813099,107.42737554805177,106.08253356606338,1.458455346635219,1.1900064989070807,0.2684488477281384,3.4933300106185623,2.0,BULL,PNB,PNB.NS
GMRAIRPORT.BO,BSE,LONG,2025-07-02,2025-07-03,2025-07-17,90.23509744262695,87.97922000656128,94.7468523147583,94.69947888860092,94.7468523147583,TARGET,11,4.947500000000002,0.15,4.797500000000001,4.797500000000001,88.37999725341797,63.34881056919642,86.04839232577254,84.67460306620123,84.52870458365327,0.21227367033591804,-0.42511020626731233,0.6373838766032304,2.709643799988911,2.0,BULL,GMRAIRPORT,GMRAIRPORT.BO
GMRAIRPORT.NS,NSE,LONG,2025-07-02,2025-07-03,2025-07-17,90.045,87.793875,94.54725,94.49997637500002,94.54725,TARGET,11,4.9475000000000176,0.15,4.797500000000017,4.797500000000017,88.4000015258789,63.342778705649614,86.04174278479535,84.67284378742838,84.53221520912892,0.2064972821222142,-0.4299187596796918,0.636416041801906,2.7408309789609397,2.0,BULL,GMRAIRPORT,GMRAIRPORT.NS
CGCL.BO,BSE,LONG,2025-07-10,2025-07-11,2025-07-11,177.88890305328368,173.44168047695157,186.78334820594787,173.35495963671312,173.44168047695157,STOP_LOSS,1,-2.5487499999999987,0.15,-2.6987499999999986,-2.6987499999999986,177.8000030517578,61.048861790753655,171.05659793253392,169.65764874590695,168.5019797641217,1.240056753576937,1.1872571717928422,0.05279958178409472,3.9422069658391936,2.0,BULL,CGCL,CGCL.BO
NMDC.BO,BSE,LONG,2025-07-21,2025-07-22,2025-08-01,72.12604133605957,70.32289030265808,75.73234340286255,70.28772885750675,70.32289030265808,STOP_LOSS,9,-2.5487500000000054,0.15,-2.6987500000000053,-2.6987500000000053,71.9000015258789,62.0049179497593,70.45779436181587,69.59636410713541,69.45948715746017,0.17861312139747554,-0.18767301982822723,0.3662861412257028,2.0469093265352476,2.0,BULL,NMDC,NMDC.BO
NMDC.NS,NSE,LONG,2025-07-21,2025-07-22,2025-08-07,72.036,70.2351,75.6378,70.19998245000001,70.2351,STOP_LOSS,13,-2.5487499999999916,0.15,-2.6987499999999915,-2.6987499999999915,71.91000366210938,62.10340407207728,70.46446498443211,69.59815517157708,69.4581240831398,0.1821487851448893,-0.18563338667636156,0.36778217182125084,2.0514434871486347,2.0,BULL,NMDC,NMDC.NS
500034.BO,BSE,LONG,2025-07-23,2025-07-24,2025-07-25,968.8842244262695,944.6621188156128,1017.328435647583,944.189787756205,944.6621188156128,STOP_LOSS,2,-2.5487499999999987,0.15,-2.6987499999999986,-2.6987499999999986,968.2000122070312,63.48183008032443,950.8539922929891,940.1260077282377,933.73403737649,7.14106601618073,4.118174625622295,3.022891390558435,1.8242569368838761,2.0,BULL,BAJFINANCE,500034.BO
JIOFIN.NS,NSE,LONG,2025-08-01,2025-08-04,2025-08-07,330.01493110656736,321.76455782890315,346.5156776618957,321.60367554998874,321.76455782890315,STOP_LOSS,4,-2.5487499999999965,0.15,-2.6987499999999964,-2.6987499999999964,329.5,62.99258183444698,323.7951706503888,320.18135939846275,316.5834077683834,3.8121952191325477,3.8112729312704356,0.0009222878621120145,1.761863630687338,2.0,BULL,JIOFIN,JIOFIN.NS
JIOFIN.BO,BSE,LONG,2025-08-04,2025-08-05,2025-08-06,335.01743110656736,326.6419953289032,351.76830266189575,326.4786743312388,326.6419953289032,STOP_LOSS,2,-2.548749999999983,0.15,-2.698749999999983,-2.698749999999983,333.54998779296875,65.60819803214264,326.99841242675734,322.0432098355001,317.79930968619647,4.571492480908091,3.9566350213045727,0.6148574596035186,2.003549594504182,2.0,BULL,JIOFIN,JIOFIN.BO
VEDL.NS,NSE,SHORT,2025-08-29,2025-09-01,2025-09-01,422.5885877990723,433.15330249404906,401.45915840911863,433.36987914529607,433.15330249404906,STOP_LOSS,1,-2.551249999999988,0.15,-2.701249999999988,-2.701249999999988,420.6499938964844,38.637248590468445,430.12433271114026,435.43530722972724,438.1965699335037,-3.066984413753005,-1.7938716369164367,-1.2731127768365682,2.202697707181004,2.0,BEAR,VEDL,VEDL.NS
