variant,symbol,exchange,signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime
CURRENT,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.4390243902438935,-2.5890243902438934,BEAR
CURRENT,GROWW,BSE,2026-04-08,2026-04-09,2026-04-10,LONG,182.0500030517578,177.49875297546387,191.15250320434572,191.15250320434572,TARGET,2,5.000000000000004,4.850000000000004,BEAR
CURRENT,GROWW,BSE,2026-07-15,2026-07-16,2026-07-16,LONG,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,NEUTRAL
EMA_MACD,GROWW,BSE,2026-03-30,2026-04-01,2026-04-02,SHORT,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.4390243902438935,-2.5890243902438934,BEAR
EMA_MACD,GROWW,BSE,2026-04-06,2026-04-07,2026-04-08,LONG,167.3000030517578,163.11750297546385,175.6650032043457,175.6650032043457,TARGET,2,5.000000000000004,4.850000000000004,BEAR
EMA_MACD,GROWW,BSE,2026-07-13,2026-07-14,2026-07-14,LONG,208.35000610351562,203.14125595092773,218.76750640869142,203.14125595092773,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,NEUTRAL
EMA_MACD,GROWW,BSE,2026-08-31,2026-09-01,2026-09-04,SHORT,193.25,198.08124999999998,183.58749999999998,194.10000610351562,TIME_EXIT,4,-0.43792172941112817,-0.5879217294111282,NEUTRAL
CURRENT,LENSKART,BSE,2026-04-10,2026-04-13,2026-04-20,LONG,535.8499755859375,522.453726196289,562.6424743652344,522.453726196289,STOP_LOSS,5,-2.500000000000002,-2.650000000000002,BEAR
EMA_MACD,LENSKART,BSE,2026-02-03,2026-02-04,2026-02-10,LONG,451.8999938964844,440.6024940490723,474.4949935913086,474.4949935913086,TARGET,5,5.000000000000004,4.850000000000004,NEUTRAL
EMA_MACD,LENSKART,BSE,2026-04-10,2026-04-13,2026-04-20,LONG,535.8499755859375,522.453726196289,562.6424743652344,522.453726196289,STOP_LOSS,5,-2.500000000000002,-2.650000000000002,BEAR
EMA_MACD,LENSKART,BSE,2026-06-12,2026-06-15,2026-06-19,SHORT,507.75,520.4437499999999,482.36249999999995,520.4437499999999,STOP_LOSS,5,-2.4390243902438824,-2.5890243902438823,BEAR
EMA_MACD,LENSKART,BSE,2026-06-22,2026-06-23,2026-06-24,LONG,521.0999755859375,508.0724761962891,547.1549743652344,508.0724761962891,STOP_LOSS,2,-2.500000000000002,-2.650000000000002,BEAR
CURRENT,CUPID,BSE,2025-02-12,2025-02-13,2025-02-13,SHORT,14.199999809265137,14.554999804496763,13.489999818801879,14.554999804496763,STOP_LOSS,1,-2.4390243902438935,-2.5890243902438934,NEUTRAL
CURRENT,CUPID,BSE,2025-04-17,2025-04-21,2025-04-21,LONG,14.961999893188477,14.587949895858765,15.710099887847901,14.587949895858765,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,NEUTRAL
CURRENT,CUPID,BSE,2025-06-27,2025-06-30,2025-07-11,LONG,21.399999618530277,20.864999628067018,22.46999959945679,22.46999959945679,TARGET,10,5.000000000000004,4.850000000000004,BULL
CURRENT,CUPID,BSE,2026-03-02,2026-03-04,2026-03-04,SHORT,75.01000213623047,76.88525218963622,71.25950202941894,76.88525218963622,STOP_LOSS,1,-2.4390243902438935,-2.5890243902438934,BEAR
CURRENT,CUPID,BSE,2026-03-10,2026-03-11,2026-03-11,LONG,91.9499969482422,89.65124702453615,96.54749679565431,89.65124702453615,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,BEAR
CURRENT,CUPID,BSE,2026-04-06,2026-04-07,2026-04-07,LONG,88.29000091552734,86.08275089263915,92.70450096130371,86.08275089263915,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,BEAR
EMA_MACD,CUPID,BSE,2025-02-12,2025-02-13,2025-02-13,SHORT,14.199999809265137,14.554999804496763,13.489999818801879,14.554999804496763,STOP_LOSS,1,-2.4390243902438935,-2.5890243902438934,NEUTRAL
EMA_MACD,CUPID,BSE,2025-02-14,2025-02-17,2025-02-17,SHORT,13.579999923706056,13.919499921798707,12.900999927520752,13.919499921798707,STOP_LOSS,1,-2.4390243902438935,-2.5890243902438934,NEUTRAL
EMA_MACD,CUPID,BSE,2025-04-17,2025-04-21,2025-04-21,LONG,14.961999893188477,14.587949895858765,15.710099887847901,14.587949895858765,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,NEUTRAL
EMA_MACD,CUPID,BSE,2025-06-27,2025-06-30,2025-07-11,LONG,21.399999618530277,20.864999628067018,22.46999959945679,22.46999959945679,TARGET,10,5.000000000000004,4.850000000000004,BULL
EMA_MACD,CUPID,BSE,2026-02-10,2026-02-11,2026-02-13,LONG,87.27999877929688,85.09799880981446,91.64399871826173,85.09799880981446,STOP_LOSS,3,-2.500000000000002,-2.650000000000002,NEUTRAL
EMA_MACD,CUPID,BSE,2026-02-20,2026-02-23,2026-02-25,LONG,85.18000030517578,83.05050029754638,89.43900032043457,83.05050029754638,STOP_LOSS,3,-2.5000000000000133,-2.6500000000000132,NEUTRAL
EMA_MACD,CUPID,BSE,2026-02-26,2026-02-27,2026-03-02,SHORT,82.69999694824219,84.76749687194824,78.56499710083007,78.56499710083007,TARGET,2,5.2631578947368585,5.113157894736858,NEUTRAL
EMA_MACD,CUPID,BSE,2026-03-10,2026-03-11,2026-03-11,LONG,91.9499969482422,89.65124702453615,96.54749679565431,89.65124702453615,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,BEAR
EMA_MACD,CUPID,BSE,2026-03-13,2026-03-16,2026-03-16,SHORT,76.0,77.89999999999999,72.2,77.89999999999999,STOP_LOSS,1,-2.4390243902438935,-2.5890243902438934,BEAR
EMA_MACD,CUPID,BSE,2026-04-01,2026-04-02,2026-04-08,LONG,85.76000213623047,83.6160020828247,90.04800224304199,90.04800224304199,TARGET,4,5.000000000000004,4.850000000000004,BEAR
CURRENT,COALINDIA,BSE,2025-05-14,2025-05-15,2025-05-29,LONG,403.25,393.16875,423.4125,398.2999877929688,TIME_EXIT,11,-1.2275293755812045,-1.3775293755812044,NEUTRAL
CURRENT,COALINDIA,BSE,2025-08-22,2025-08-25,2025-09-03,SHORT,379.75,389.24375,360.7625,389.24375,STOP_LOSS,7,-2.4390243902438935,-2.5890243902438934,NEUTRAL
CURRENT,COALINDIA,BSE,2025-09-05,2025-09-08,2025-09-22,LONG,393.2000122070313,383.3700119018555,412.8600128173829,394.6499938964844,TIME_EXIT,11,0.36876440601167904,0.21876440601167904,NEUTRAL
CURRENT,COALINDIA,BSE,2025-10-24,2025-10-27,2025-10-29,LONG,395.9500122070313,386.0512619018555,415.74751281738287,386.0512619018555,STOP_LOSS,3,-2.500000000000002,-2.650000000000002,BULL
CURRENT,COALINDIA,BSE,2025-11-04,2025-11-06,2025-11-17,SHORT,378.2000122070313,387.65501251220707,359.29001159667973,387.65501251220707,STOP_LOSS,8,-2.4390243902438935,-2.5890243902438934,BULL
CURRENT,COALINDIA,BSE,2025-11-24,2025-11-25,2025-12-09,SHORT,372.7999877929688,382.11998748779297,354.15998840332037,379.1000061035156,TIME_EXIT,11,-1.6618354547919933,-1.8118354547919933,BULL
CURRENT,COALINDIA,BSE,2026-04-28,2026-04-29,2026-05-07,LONG,472.25,460.44374999999997,495.8625,460.44374999999997,STOP_LOSS,6,-2.500000000000002,-2.650000000000002,BEAR
CURRENT,COALINDIA,BSE,2026-06-01,2026-06-02,2026-06-09,LONG,470.9500122070313,459.1762619018555,494.49751281738287,459.1762619018555,STOP_LOSS,6,-2.500000000000002,-2.650000000000002,BEAR
CURRENT,COALINDIA,BSE,2026-06-12,2026-06-15,2026-06-17,SHORT,448.0,459.19999999999993,425.59999999999997,459.19999999999993,STOP_LOSS,3,-2.4390243902438824,-2.5890243902438823,BEAR
EMA_MACD,COALINDIA,BSE,2025-04-21,2025-04-22,2025-04-25,LONG,403.0,392.925,423.15000000000003,392.925,STOP_LOSS,4,-2.500000000000002,-2.650000000000002,NEUTRAL
EMA_MACD,COALINDIA,BSE,2025-05-14,2025-05-15,2025-05-29,LONG,403.25,393.16875,423.4125,398.2999877929688,TIME_EXIT,11,-1.2275293755812045,-1.3775293755812044,NEUTRAL
