variant,symbol,exchange,signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,mapped_regime,signal_close,rsi,ema_5,ema_13,ema_26,ema_5_13_signed_pct,ema_13_26_signed_pct,ema_5_26_signed_pct,ema_5_13_abs_pct,ema_13_26_abs_pct,ema_5_26_abs_pct,macd,macd_signal,macd_histogram,macd_histogram_pct,macd_histogram_abs_pct,volume_ratio,extension_pct,extension_abs_pct,ema13_event_age,ema26_event_age,macd_event_age,rsi_event_age,max_event_age,min_event_age,data_symbol
CURRENT,ADANIPOWER,BSE,2025-06-27,2025-06-30,2025-07-10,LONG,117.9800033569336,115.03050327301024,123.87900352478027,123.87900352478027,TARGET,9,5.000000000000004,4.850000000000004,BULL,BULL,116.8499984741211,61.39287152594356,113.38988049080575,111.93963018231818,111.27675497786886,1.2955646772510492,0.595699618110859,1.8989819691966718,1.2955646772510492,0.595699618110859,1.8989819691966718,0.7307613829337214,0.42504289300791176,0.30571848992580963,0.26163328533848246,0.26163328533848246,1.8965908582853608,3.051522735837002,3.051522735837002,1.0,1.0,0.0,0.0,1.0,0.0,ADANIPOWER.BO
CURRENT,ADANIPOWER,BSE,2026-02-05,2026-02-06,2026-02-10,LONG,152.0,148.2,159.6,148.2,STOP_LOSS,3,-2.500000000000002,-2.650000000000002,NEUTRAL,NEUTRAL,153.39999389648438,65.01482593259271,146.90903206423332,142.44755522844994,142.12223295932995,3.132013623279311,0.22890315072173736,3.3680860518657685,3.132013623279311,0.22890315072173736,3.3680860518657685,0.5148544349116264,-1.3883956058402027,1.9032500407518291,1.240710636557234,1.240710636557234,0.9677807226714025,4.418354502133677,4.418354502133677,1.0,1.0,2.0,1.0,2.0,1.0,ADANIPOWER.BO
CURRENT,ADANIPOWER,BSE,2026-03-16,2026-03-17,2026-03-18,LONG,155.8000030517578,151.90500297546387,163.59000320434572,151.90500297546387,STOP_LOSS,2,-2.499999999999991,-2.649999999999991,BEAR,BEAR,154.10000610351562,65.53527579552654,147.26844814724427,143.9451677841859,143.23603013086446,2.3087126954069666,0.49508329201358103,2.8152260382361036,2.3087126954069666,0.49508329201358103,2.8152260382361036,0.8710186706935303,-0.4024306259006206,1.2734492965941508,0.8263784855003314,0.8263784855003314,4.303142178199888,4.6388469778950325,4.6388469778950325,2.0,2.0,2.0,0.0,2.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-01-17,2025-01-20,2025-01-21,LONG,110.33000183105467,107.57175178527832,115.84650192260742,107.57175178527832,STOP_LOSS,2,-2.500000000000002,-2.650000000000002,NEUTRAL,NEUTRAL,109.2300033569336,55.471499185834624,107.38749947667998,104.55724640556026,104.40747537034204,2.7068932746580088,0.1434485746226236,2.854224849099685,2.7068932746580088,0.1434485746226236,2.854224849099685,0.29227694823615025,-1.06125208853902,1.3535290367751702,1.239154989634313,1.239154989634313,0.8288843886350309,1.7157526613735246,1.7157526613735246,2.0,2.0,2.0,,2.0,2.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-01-27,2025-01-28,2025-01-29,SHORT,99.38999938964844,101.87474937438964,94.420499420166,101.87474937438964,STOP_LOSS,2,-2.439024390243893,-2.5890243902438934,NEUTRAL,NEUTRAL,99.36000061035156,43.06051746518912,102.99857493804885,104.01204054360447,104.2616819777118,-0.9743733516416815,-0.23943737466339565,-1.2114777123324867,0.9743733516416815,0.23943737466339565,1.2114777123324867,-0.2615781764487508,-0.10934993290882158,-0.15222824353992923,-0.15320877878906708,0.15320877878906708,0.6194854254522948,-3.532645310758716,3.532645310758716,0.0,0.0,0.0,11.0,11.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-05-16,2025-05-19,2025-05-20,LONG,113.5,110.6625,119.175,110.6625,STOP_LOSS,2,-2.500000000000002,-2.650000000000002,NEUTRAL,NEUTRAL,113.08000183105467,59.23583260165244,109.52250847332331,108.45994641262266,107.64385344399075,0.9796815283849292,0.7581417261846131,1.7452506290199514,0.9796815283849292,0.7581417261846131,1.7452506290199514,0.8691076639192374,0.8189366827334092,0.05017098118582819,0.044367686923798715,0.044367686923798715,1.4845808836330041,3.2481846949276805,3.2481846949276805,1.0,2.0,0.0,21.0,21.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-06-23,2025-06-24,2025-06-26,SHORT,109.45999908447266,112.19649906158446,103.98699913024902,112.19649906158446,STOP_LOSS,3,-2.439024390243893,-2.5890243902438934,NEUTRAL,NEUTRAL,107.61000061035156,43.83696334364428,108.59814485118955,110.34941483499733,110.45631685303127,-1.5870224472204202,-0.09678216790097627,-1.6822686603919013,1.5870224472204202,0.09678216790097627,1.6822686603919013,-0.197022441823961,0.6701446090510582,-0.8671670508750192,-0.8058424365361465,0.8058424365361465,0.8791276194394563,-0.9099089511998775,0.9099089511998775,3.0,2.0,4.0,79.0,79.0,2.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-06-27,2025-06-30,2025-07-10,LONG,117.9800033569336,115.03050327301024,123.87900352478027,123.87900352478027,TARGET,9,5.000000000000004,4.850000000000004,BULL,BULL,116.8499984741211,61.39287152594356,113.38988049080575,111.93963018231818,111.27675497786886,1.2955646772510492,0.595699618110859,1.8989819691966718,1.2955646772510492,0.595699618110859,1.8989819691966718,0.7307613829337214,0.42504289300791176,0.30571848992580963,0.26163328533848246,0.26163328533848246,1.8965908582853608,3.051522735837002,3.051522735837002,1.0,1.0,0.0,0.0,1.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2025-08-13,2025-08-14,2025-09-01,LONG,117.16000366210938,114.23100357055664,123.01800384521484,121.33999633789062,TIME_EXIT,11,3.567764207174662,3.417764207174662,NEUTRAL,NEUTRAL,117.1500015258789,51.13355516581074,117.10088018989603,116.80200433993265,116.71585047171199,0.25588246678845705,0.07381505414429007,0.32988640071415276,0.25588246678845705,0.07381505414429007,0.32988640071415276,0.07913434066455238,0.07441247083197161,0.004721869832580772,0.004030618669294419,0.004030618669294419,0.49161346206538936,0.0419478793867454,0.0419478793867454,1.0,1.0,0.0,27.0,27.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2026-01-14,2026-01-16,2026-01-21,SHORT,142.60000610351562,146.1650062561035,135.47000579833983,135.47000579833983,TARGET,4,5.2631578947368585,5.113157894736858,BULL,BULL,142.6999969482422,45.587704891580096,143.24097634890873,143.93059440018675,144.5462232743702,-0.4791323583091677,-0.4259045032362333,-0.9029962152549004,0.4791323583091677,0.4259045032362333,0.9029962152549004,-0.655634457702746,-0.6015473786989669,-0.05408707900377907,-0.037902649026262177,0.037902649026262177,0.3411516078599293,-0.37767084144191887,0.37767084144191887,3.0,3.0,0.0,12.0,12.0,0.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2026-02-05,2026-02-06,2026-02-10,LONG,152.0,148.2,159.6,148.2,STOP_LOSS,3,-2.500000000000002,-2.650000000000002,NEUTRAL,NEUTRAL,153.39999389648438,65.01482593259271,146.90903206423332,142.44755522844994,142.12223295932995,3.132013623279311,0.22890315072173736,3.3680860518657685,3.132013623279311,0.22890315072173736,3.3680860518657685,0.5148544349116264,-1.3883956058402027,1.9032500407518291,1.240710636557234,1.240710636557234,0.9677807226714025,4.418354502133677,4.418354502133677,1.0,1.0,2.0,1.0,2.0,1.0,ADANIPOWER.BO
EMA_MACD,ADANIPOWER,BSE,2026-03-16,2026-03-17,2026-03-18,LONG,155.8000030517578,151.90500297546387,163.59000320434572,151.90500297546387,STOP_LOSS,2,-2.499999999999991,-2.649999999999991,BEAR,BEAR,154.10000610351562,65.53527579552654,147.26844814724427,143.9451677841859,143.23603013086446,2.3087126954069666,0.49508329201358103,2.8152260382361036,2.3087126954069666,0.49508329201358103,2.8152260382361036,0.8710186706935303,-0.4024306259006206,1.2734492965941508,0.8263784855003314,0.8263784855003314,4.303142178199888,4.6388469778950325,4.6388469778950325,2.0,2.0,2.0,0.0,2.0,0.0,ADANIPOWER.BO
