variant,policy,periods_with_trades,profitable_periods,pf_above_1_periods,positive_compound_periods,profitable_period_rate_pct,pf_above_1_rate_pct,overall_trades,overall_win_rate_pct,overall_avg_net_pct,overall_profit_factor,overall_compound_pct,overall_max_drawdown_pct,mean_period_avg_net_pct,median_period_avg_net_pct,mean_period_pf,median_period_pf
CURRENT,ALL,3,2,2,2,66.66666666666666,66.66666666666666,334,38.32335329341318,0.026491066155156784,1.0165525670446287,-10.099602381198125,-50.27526076953867,-0.07540532267410684,0.12105085537168507,0.9637264273482021,1.083668591639034
CURRENT,SHORT_ONLY,3,2,2,2,66.66666666666666,66.66666666666666,171,43.27485380116959,0.386572438741634,1.264542325451529,74.29629931188761,-29.4710487338393,0.011304376665296082,0.173205133516113,1.0790673843132739,1.134009472187335
EMA_MACD,ALL,3,1,1,1,33.33333333333333,33.33333333333333,488,40.36885245901639,0.14091584209682956,1.0913405417274127,49.52326203470856,-53.86635300789809,-0.039121408250619126,-0.12718290505114854,0.9841728127655062,0.916383867779231
EMA_MACD,SHORT_ONLY,3,2,2,2,66.66666666666666,66.66666666666666,252,44.84126984126984,0.42627058848163074,1.2982035623118835,151.34468701942927,-31.751916962893535,0.18420278523304953,0.1303741978711685,1.1548584702849556,1.0956029246660717
