variant,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
CURRENT,435,162,273,37.24137931034483,0.013967225245575664,1.0086124439668096,-17.652112969720257,-76.70686710104661
LONG_RSI_ZONE,400,158,242,39.5,0.16884230302636832,1.1081283139520681,54.61519380359623,-63.97904424438485
SHORT_RSI_ZONE,428,156,272,36.44859813084112,-0.04760340424807154,0.9710103310831177,-36.33424474564122,-79.79203410951634
BOTH_RSI_ZONE,393,152,241,38.67684478371501,0.10454687330928074,1.0660614770967776,19.53789517010236,-64.71006639649801
LONG_RSI_ZONE_NO_NEUTRAL,197,79,118,40.10152284263959,0.23753798268726972,1.155507656511145,41.79101304706578,-60.15174711218278
LONG_RSI_ZONE_BEAR_ONLY,88,36,52,40.909090909090914,0.37644684546108736,1.244569306562626,31.51442313240487,-30.361706652154396
