trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,regime_test,exit_reason
134,134,0,100.0,4.969795758051851,5.1197957580518505,4.969795758051851,0.0,inf,4.969795758051851,66362.67958998676,0.0,4.649253731343284,134,0,0,CURRENT,ALL,TARGET
263,0,263,0.0,-2.6221784290086227,-2.4721784290086233,0.0,-2.6221784290086227,0.0,-2.6221784290086227,-99.90774522640129,-99.90529324542617,2.711026615969582,0,263,0,CURRENT,ALL,STOP_LOSS
38,28,10,73.68421052631578,1.4294190090577028,1.5794190090577027,2.24221450988177,-0.8464083932496843,7.417460268280838,1.4294190090577028,70.6747225658753,-3.1483513737629476,10.631578947368421,0,0,38,CURRENT,ALL,TIME_EXIT
69,69,0,100.0,4.964416475972545,5.114416475972545,4.964416475972545,0.0,inf,4.964416475972545,2730.619333081481,0.0,5.0144927536231885,69,0,0,CURRENT,BULL_BEAR,TARGET
119,0,119,0.0,-2.621305595408893,-2.4713055954088943,0.0,-2.621305595408893,0.0,-2.621305595408893,-95.76154841245999,-95.64889730237388,2.9327731092436973,0,119,0,CURRENT,BULL_BEAR,STOP_LOSS
20,13,7,65.0,1.1348907733243467,1.284890773324347,2.165161587045601,-0.7784693093008387,5.165283111229133,1.1348907733243467,25.009059218415963,-1.3611782287218488,11.0,0,0,20,CURRENT,BULL_BEAR,TIME_EXIT
32,32,0,100.0,4.965131578947371,5.115131578947372,4.965131578947371,0.0,inf,4.965131578947371,371.44496120991147,0.0,6.34375,32,0,0,CURRENT,BULL_ONLY,TARGET
70,0,70,0.0,-2.6247386759581874,-2.474738675958187,0.0,-2.6247386759581874,0.0,-2.6247386759581874,-84.46171485085733,-84.03874150062387,3.342857142857143,0,70,0,CURRENT,BULL_ONLY,STOP_LOSS
17,11,6,64.70588235294117,1.132975956858278,1.2829759568582784,2.218948220981724,-0.8579731940347056,4.741490487990628,1.132975956858278,20.82986499538626,-1.3611782287218488,11.0,0,0,17,CURRENT,BULL_ONLY,TIME_EXIT
37,37,0,100.0,4.963798008534857,5.113798008534857,4.963798008534857,0.0,inf,4.963798008534857,500.41352988841095,0.0,3.864864864864865,37,0,0,CURRENT,BEAR_ONLY,TARGET
49,0,49,0.0,-2.616401194624188,-2.4664011946241877,0.0,-2.616401194624188,0.0,-2.616401194624188,-72.72252666972146,-71.99753604813851,2.3469387755102042,0,49,0,CURRENT,BEAR_ONLY,STOP_LOSS
3,2,1,66.66666666666666,1.1457413999654036,1.2957413999654035,1.8693351003969239,-0.301446000897637,12.402454136598083,1.1457413999654036,3.458742772897483,-0.3014460008976316,11.0,0,0,3,CURRENT,BEAR_ONLY,TIME_EXIT
65,65,0,100.0,4.975506072874497,5.125506072874497,4.975506072874497,0.0,inf,4.975506072874497,2247.9907316832296,0.0,4.2615384615384615,65,0,0,CURRENT,NEUTRAL_ONLY,TARGET
144,0,144,0.0,-2.6228997289972886,-2.4728997289972887,0.0,-2.6228997289972886,0.0,-2.6228997289972886,-97.82338498639646,-97.76413455202513,2.5277777777777777,0,144,0,CURRENT,NEUTRAL_ONLY,STOP_LOSS
18,15,3,83.33333333333334,1.7566726043169874,1.906672604316987,2.3089937096731163,-1.004932922463658,11.488297666736148,1.7566726043169874,36.529883220441015,-1.461473927500745,10.222222222222221,0,0,18,CURRENT,NEUTRAL_ONLY,TIME_EXIT
217,217,0,100.0,4.972483628425908,5.1224836284259085,4.972483628425908,0.0,inf,4.972483628425908,3743624.587286575,0.0,4.387096774193548,217,0,0,EMA_MACD,ALL,TARGET
404,0,404,0.0,-2.6205687032117826,-2.4705687032117827,0.0,-2.6205687032117826,0.0,-2.6205687032117826,-99.99780843725627,-99.99775018910341,2.992574257425743,0,404,0,EMA_MACD,ALL,STOP_LOSS
53,37,16,69.81132075471697,1.1931852371428289,1.3431852371428288,2.0295736807980944,-0.7409630388099725,6.334174433833346,1.1931852371428289,86.28893372143796,-2.775881492826826,10.283018867924529,0,0,53,EMA_MACD,ALL,TIME_EXIT
106,106,0,100.0,4.951787487586897,5.101787487586897,4.951787487586897,0.0,inf,4.951787487586897,16683.738108364083,0.0,4.943396226415095,106,0,0,EMA_MACD,BULL_BEAR,TARGET
171,0,171,0.0,-2.621473398944514,-2.471473398944514,0.0,-2.621473398944514,0.0,-2.621473398944514,-98.93535842202239,-98.90706199038317,3.4210526315789473,0,171,0,EMA_MACD,BULL_BEAR,STOP_LOSS
