scope,period,variant,filter,cost_pct,trades,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
OVERALL,ALL,CURRENT,ALL,0.0,334,38.32335329341318,0.17649106615515683,1.1170438552350699,48.37966394711219,-46.26693901811749
OVERALL,ALL,CURRENT,ALL,0.05,334,38.32335329341318,0.1264910661551569,1.0822041129121251,25.56630136557898,-47.63703270618843
OVERALL,ALL,CURRENT,ALL,0.1,334,38.32335329341318,0.07649106615515688,1.0487333964561973,6.251611089588094,-48.97285986100657
OVERALL,ALL,CURRENT,ALL,0.15,334,38.32335329341318,0.026491066155156784,1.0165525670446287,-10.099602381198125,-50.27526076953867
OVERALL,ALL,CURRENT,ALL,0.2,334,38.02395209580838,-0.023508933844843264,0.9855893245136282,-23.940873862761503,-52.08050122752898
OVERALL,ALL,CURRENT,ALL,0.25,334,38.02395209580838,-0.07350893384484317,0.9557799363062307,-35.65650548209137,-55.40604353315095
OVERALL,ALL,CURRENT,ALL,0.3,334,38.02395209580838,-0.12350893384484309,0.9270615737397251,-45.57210810325297,-58.50230163259306
OVERALL,ALL,CURRENT,ALL,0.4,334,38.02395209580838,-0.2235089338448432,0.8726667952367806,-61.064498073826655,-64.4747704287312
OVERALL,ALL,CURRENT,ALL,0.5,334,37.4251497005988,-0.3235089338448432,0.8220248176407774,-72.15649975620204,-73.69178791101048
OVERALL,ALL,CURRENT,ALL,0.6,334,37.12574850299401,-0.4235089338448431,0.7747766237271411,-80.09531191560067,-80.52334131961825
OVERALL,ALL,CURRENT,SHORT_ONLY,0.0,171,43.27485380116959,0.5365724387416341,1.3898942431500014,125.06465164728966,-28.04516128190142
OVERALL,ALL,CURRENT,SHORT_ONLY,0.05,171,43.27485380116959,0.48657243874163414,1.3464227686677082,106.68995717506911,-28.523386981820575
OVERALL,ALL,CURRENT,SHORT_ONLY,0.1,171,43.27485380116959,0.43657243874163415,1.304672197635594,89.8073416078469,-28.998677290910734
OVERALL,ALL,CURRENT,SHORT_ONLY,0.15,171,43.27485380116959,0.386572438741634,1.264542325451529,74.29629931188761,-29.4710487338393
OVERALL,ALL,CURRENT,SHORT_ONLY,0.2,171,42.69005847953216,0.3365724387416339,1.22591193357971,60.04600412615248,-29.94051775066221
OVERALL,ALL,CURRENT,SHORT_ONLY,0.25,171,42.69005847953216,0.286572438741634,1.1887214698193311,46.9545361307832,-30.661835626998744
OVERALL,ALL,CURRENT,SHORT_ONLY,0.3,171,42.69005847953216,0.23657243874163422,1.1529086259286088,34.928169843460275,-31.3991169372824
OVERALL,ALL,CURRENT,SHORT_ONLY,0.4,171,42.69005847953216,0.1365724387416339,1.0851205531403811,13.73293338237669,-32.851341797694374
OVERALL,ALL,CURRENT,SHORT_ONLY,0.5,171,42.10526315789473,0.03657243874163402,1.0220022456045483,-4.149249111993791,-34.770986722200206
OVERALL,ALL,CURRENT,SHORT_ONLY,0.6,171,42.10526315789473,-0.06342756125836585,0.9631258401631483,-19.23367593824369,-39.21152552338505
OVERALL,ALL,CURRENT,NO_NEUTRAL,0.0,250,39.2,0.3064472547546644,1.2065156493771019,84.7880859639704,-32.794469792079575
OVERALL,ALL,CURRENT,NO_NEUTRAL,0.05,250,39.2,0.2564472547546645,1.1693510764308168,63.10770557655167,-34.17208351879598
OVERALL,ALL,CURRENT,NO_NEUTRAL,0.1,250,39.2,0.20644725475466447,1.133649321744647,43.962005636545086,-35.52213358038176
OVERALL,ALL,CURRENT,NO_NEUTRAL,0.15,250,39.2,0.15644725475466434,1.0993256862102092,27.055704799933423,-36.8451579518321
