variant,exchange,symbol,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
CURRENT,BSE,ADANIPOWER,3,1,2,33.33333333333333,-0.15000000000000138,0.9150943396226408,-0.6334190874999979,-5.229774999999992
CURRENT,BSE,ASTERDM,4,2,2,50.0,1.0999999999999956,1.8301886792452766,4.18586008675621,-5.229775000000025
CURRENT,BSE,AYE,1,1,0,100.0,4.849999999999996,inf,4.849999999999999,0.0
CURRENT,BSE,BAJFINANCE,6,3,3,50.0,0.7664501428327948,1.5784529379870145,4.314227781155333,-5.229775000000004
CURRENT,BSE,CGCL,10,1,9,10.0,-1.900000000000001,0.20335429769392036,-17.663569075331143,-15.422258937166045
CURRENT,BSE,COALINDIA,9,1,8,11.11111111111111,-2.0998537888468913,0.011443180084790155,-17.419869532589495,-16.26641479922146
CURRENT,BSE,CUPID,6,1,5,16.666666666666664,-1.399999999999995,0.3660377358490576,-8.325570900514645,-7.741185962500008
CURRENT,BSE,EPL,7,3,4,42.857142857142854,0.5642857142857189,1.372641509433966,3.525926962490722,-5.229774999999992
CURRENT,BSE,ETERNAL,6,1,5,16.666666666666664,-1.3999999999999961,0.3660377358490573,-8.325570900514645,-5.830067694416686
CURRENT,BSE,GMRAIRPORT,6,2,4,33.33333333333333,-0.5224858834259899,0.7042532735324581,-3.367444203216574,-10.186044534493732
CURRENT,BSE,GROWW,3,1,2,33.33333333333333,-0.14999999999999325,0.9150943396226452,-0.6334190874999868,-2.650000000000008
CURRENT,BSE,HINDCOPPER,4,1,3,25.0,-0.7749999999999971,0.6100628930817621,-3.266633481681247,-5.229774999999992
CURRENT,BSE,ICICIPRULI,8,3,5,37.5,0.16250000000000292,1.0981132075471718,0.7824898979846839,-12.566114354329672
CURRENT,BSE,IDFCFIRSTB,4,1,3,25.0,-0.7749999999999946,0.6100628930817629,-3.266633481681225,-2.650000000000008
CURRENT,BSE,INFY,6,2,4,33.33333333333333,-0.5811444426459637,0.6710503154834161,-3.698876556269848,-5.229774999999992
CURRENT,BSE,INOXWIND,7,4,3,57.14285714285714,1.6357142857142875,2.4402515723270444,11.50173027238981,-5.229775000000004
CURRENT,BSE,IOC,5,4,1,80.0,2.3935418062574576,5.516116615580115,12.288483702662823,-2.649999999999997
CURRENT,BSE,IXIGO,5,3,2,60.0,1.850000000000002,2.745283018867927,9.238874300963928,-2.649999999999997
CURRENT,BSE,JIOFIN,8,5,3,62.5,1.8049588049753527,2.8163107471450126,14.835264542212157,-2.6499999999999857
CURRENT,BSE,JSWENERGY,9,3,6,33.33333333333333,-0.14999999999999838,0.9150943396226424,-1.8882460843118731,-10.186044534493732
CURRENT,BSE,KALYANKJIL,7,4,3,57.14285714285714,1.4164160401002535,2.2471587774467654,9.86925591071457,-2.650000000000008
CURRENT,BSE,LENSKART,1,0,1,0.0,-2.6500000000000044,0.0,-2.650000000000008,0.0
CURRENT,BSE,LLOYDSENGG,6,2,4,33.33333333333333,-0.1499999999999949,0.9150943396226442,-1.2628259775958717,-7.741185962499985
CURRENT,BSE,MAHABANK,4,1,3,25.0,-0.7749999999999962,0.6100628930817624,-3.266633481681236,-5.229775000000004
CURRENT,BSE,MOTHERSON,6,1,5,16.666666666666664,-1.3999999999999975,0.3660377358490572,-8.325570900514634,-10.186044534493742
