variant,trades,wins,losses,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits
CURRENT,334,128,206,38.32335329341318,0.02649106615515676,1.0165525670446287,-10.099602381198181,-48.97409906261051,3.2724550898203595,105,200,29
LONG_RSI_ZONE,281,109,172,38.79003558718861,0.08833498897150131,1.055850302837975,8.498607202248554,-43.360174804317374,3.2455516014234878,92,166,23
