exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,AHIMSA,Ahimsa Industries,,206241,NT,AHIMSA.BO,,,0,,AHIMSA.BO: Yahoo returned no data | 206241.BO: Yahoo returned no data
BSE,STOCK,AHLADA,Ahlada Engineers,,202065,NS,AHLADA.BO,,,0,,AHLADA.BO: Yahoo returned no data | 202065.BO: Yahoo returned no data
BSE,STOCK,AIAENG,AIA Engineering,,532683,A,AIAENG.BO,,,0,,AIAENG.BO: Only 2 rows; minimum is 30 | 532683.BO: Yahoo returned no data
BSE,STOCK,AILIMITED,Abhishek Integrations,,208056,NS,AILIMITED.BO,,,0,,AILIMITED.BO: Yahoo returned no data | 208056.BO: Yahoo returned no data
BSE,STOCK,AIMTRON,Aimtron Electronics,,211636,NS,AIMTRON.BO,,,0,,AIMTRON.BO: Yahoo returned no data | 211636.BO: Yahoo returned no data
BSE,STOCK,AIROLAM,Airo Lam,,203532,NS,AIROLAM.BO,,,0,,AIROLAM.BO: Yahoo returned no data | 203532.BO: Yahoo returned no data
BSE,STOCK,AISL,ANI Integrated Services,,200742,NS,AISL.BO,,,0,,AISL.BO: Yahoo returned no data | 200742.BO: Yahoo returned no data
BSE,STOCK,AJOONI,Ajooni Biotech,,209169,NS,AJOONI.BO,,,0,,AJOONI.BO: Yahoo returned no data | 209169.BO: Yahoo returned no data
BSE,STOCK,AKANKSHA,Akanksha Power & Infrastructure,,210974,NS,AKANKSHA.BO,,,0,,AKANKSHA.BO: Yahoo returned no data | 210974.BO: Yahoo returned no data
BSE,STOCK,AKASH,Akash Infra Projects,,202949,NS,AKASH.BO,,,0,,AKASH.BO: Yahoo returned no data | 202949.BO: Yahoo returned no data
BSE,STOCK,AKG,AKG Exim,,202866,NS,AKG.BO,,,0,,AKG.BO: Yahoo returned no data | 202866.BO: Yahoo returned no data
BSE,STOCK,AKIKO,Akiko Global Services,,211721,NS,AKIKO.BO,,,0,,AKIKO.BO: Yahoo returned no data | 211721.BO: Yahoo returned no data
BSE,STOCK,ALCODIS,Alcokraft Distilleries,,201707,NS,ALCODIS.BO,,,0,,ALCODIS.BO: Yahoo returned no data | 201707.BO: Yahoo returned no data
BSE,STOCK,ALEMBICLTD,Alembic,,506235,B,ALEMBICLTD.BO,,,0,,ALEMBICLTD.BO: Only 2 rows; minimum is 30 | 506235.BO: Yahoo returned no data
BSE,STOCK,ALLETEC,All E Technologies,,209328,NS,ALLETEC.BO,,,0,,ALLETEC.BO: Yahoo returned no data | 209328.BO: Yahoo returned no data
BSE,STOCK,ALPEXSOLAR,Alpex Solar,,211127,NS,ALPEXSOLAR.BO,,,0,,ALPEXSOLAR.BO: Yahoo returned no data | 211127.BO: Yahoo returned no data
BSE,STOCK,ALUWIND,Aluwind Infra - Tech,,211499,NS,ALUWIND.BO,,,0,,ALUWIND.BO: Yahoo returned no data | 211499.BO: Yahoo returned no data
BSE,STOCK,AMARNATH,Sri Amarnath Finance,,538863,X,AMARNATH.BO,,,0,,AMARNATH.BO: Yahoo returned no data | 538863.BO: Only 1 rows; minimum is 30
BSE,STOCK,AMBAAUTO,Amba Auto Sales & Services,,216238,NS,AMBAAUTO.BO,,,0,,AMBAAUTO.BO: Yahoo returned no data | 216238.BO: Yahoo returned no data
BSE,STOCK,AMBANIORGO,Ambani Orgochem,,201064,NS,AMBANIORGO.BO,,,0,,AMBANIORGO.BO: Yahoo returned no data | 201064.BO: Yahoo returned no data
BSE,STOCK,AMCL,ANB Metal Cast,,213646,NS,AMCL.BO,,,0,,AMCL.BO: Yahoo returned no data | 213646.BO: Yahoo returned no data
BSE,STOCK,AMEYA,Ameya Precision Engineers,,209085,NS,AMEYA.BO,,,0,,AMEYA.BO: Yahoo returned no data | 209085.BO: Yahoo returned no data
BSE,STOCK,AMIABLE,Amiable Logistics,,209239,NS,AMIABLE.BO,,,0,,AMIABLE.BO: Yahoo returned no data | 209239.BO: Yahoo returned no data
BSE,STOCK,ANANTRAJ,Anant Raj,,515055,A,ANANTRAJ.BO,,,0,,ANANTRAJ.BO: Only 2 rows; minimum is 30 | 515055.BO: Yahoo returned no data
BSE,STOCK,ANAWIL,Anawil Wire & Engineering,,216509,NS,ANAWIL.BO,,,0,,ANAWIL.BO: Yahoo returned no data | 216509.BO: Yahoo returned no data
BSE,STOCK,ANLON,Anlon Technology Solutions,,209379,NS,ANLON.BO,,,0,,ANLON.BO: Yahoo returned no data | 209379.BO: Yahoo returned no data
BSE,STOCK,ANNAPURNA,Annapurna Swadisht,,209126,NS,ANNAPURNA.BO,,,0,,ANNAPURNA.BO: Yahoo returned no data | 209126.BO: Yahoo returned no data
BSE,STOCK,ANNU,Annu Projects,,544893,T,ANNU.BO,,,0,,ANNU.BO: Only 3 rows; minimum is 30 | 544893.BO: Yahoo returned no data
BSE,STOCK,ANONDITA,Anondita Medicare,,213679,NS,ANONDITA.BO,,,0,,ANONDITA.BO: Yahoo returned no data | 213679.BO: Yahoo returned no data
BSE,STOCK,ANTGRAPHIC,Antarctica,,201552,NS,ANTGRAPHIC.BO,,,0,,ANTGRAPHIC.BO: Yahoo returned no data | 201552.BO: Yahoo returned no data
BSE,STOCK,ANYA,Anya Polytech & Fertilizers,,212338,NS,ANYA.BO,,,0,,ANYA.BO: Yahoo returned no data | 212338.BO: Yahoo returned no data
BSE,STOCK,APEXECO,Apex Ecotech,,212230,NT,APEXECO.BO,,,0,,APEXECO.BO: Yahoo returned no data | 212230.BO: Yahoo returned no data
BSE,STOCK,APOLLOTYRE,Apollo Tyres,,500877,A,APOLLOTYRE.BO,,,0,,APOLLOTYRE.BO: Only 2 rows; minimum is 30 | 500877.BO: Yahoo returned no data
BSE,STOCK,APOLSINHOT,Apollo Sindoori Hotel,,205935,NS,APOLSINHOT.BO,,,0,,APOLSINHOT.BO: Yahoo returned no data | 205935.BO: Yahoo returned no data
BSE,STOCK,APRAMEYA,Aprameya Engineering,,211804,NS,APRAMEYA.BO,,,0,,APRAMEYA.BO: Yahoo returned no data | 211804.BO: Yahoo returned no data
BSE,STOCK,APS,Australian Premium Solar,,211016,NS,APS.BO,,,0,,APS.BO: Yahoo returned no data | 211016.BO: Yahoo returned no data
BSE,STOCK,ARABIAN,Arabian Petroleum,,210687,NS,ARABIAN.BO,,,0,,ARABIAN.BO: Yahoo returned no data | 210687.BO: Yahoo returned no data
BSE,STOCK,ARCHIES,Archies,,532212,B,ARCHIES.BO,,,0,,ARCHIES.BO: Only 2 rows; minimum is 30 | 532212.BO: Yahoo returned no data
BSE,STOCK,ARCIIL,ARC Insulation & Insulators,,213677,NS,ARCIIL.BO,,,0,,ARCIIL.BO: Yahoo returned no data | 213677.BO: Yahoo returned no data
BSE,STOCK,ARDEE,Ardee Industries,,544860,B,ARDEE.BO,,,0,,ARDEE.BO: Only 18 rows; minimum is 30 | 544860.BO: Yahoo returned no data
BSE,STOCK,ARDIALL,Ardi Investments & Trading,,504370,XT,ARDIALL.BO,,,0,,ARDIALL.BO: Yahoo returned no data | 504370.BO: Yahoo returned no data
BSE,STOCK,ARHAM,Arham Technologies,,209299,NS,ARHAM.BO,,,0,,ARHAM.BO: Yahoo returned no data | 209299.BO: Yahoo returned no data
BSE,STOCK,ARIHANTACA,Arihant Academy,,209347,NS,ARIHANTACA.BO,,,0,,ARIHANTACA.BO: Yahoo returned no data | 209347.BO: Yahoo returned no data
BSE,STOCK,ARISTO,Aristo Bio-Tech & Lifescience,,209425,NS,ARISTO.BO,,,0,,ARISTO.BO: Yahoo returned no data | 209425.BO: Yahoo returned no data
BSE,STOCK,ARMOUR,Armour Security,,215621,NT,ARMOUR.BO,,,0,,ARMOUR.BO: Yahoo returned no data | 215621.BO: Yahoo returned no data
BSE,STOCK,ARTNIRMAN,Art Nirman,,205945,NS,ARTNIRMAN.BO,,,0,,ARTNIRMAN.BO: Yahoo returned no data | 205945.BO: Yahoo returned no data
BSE,STOCK,ARUNAYA,Arunaya Organics,,213270,NS,ARUNAYA.BO,,,0,,ARUNAYA.BO: Yahoo returned no data | 213270.BO: Yahoo returned no data
BSE,STOCK,ARVEE,Arvee Laboratories,,205428,NS,ARVEE.BO,,,0,,ARVEE.BO: Yahoo returned no data | 205428.BO: Yahoo returned no data
BSE,STOCK,ARVIND,Arvind,,500101,A,ARVIND.BO,,,0,,ARVIND.BO: Only 2 rows; minimum is 30 | 500101.BO: Yahoo returned no data
BSE,STOCK,ARVINDPORT,Arvind port & Infra,,210730,NS,ARVINDPORT.BO,,,0,,ARVINDPORT.BO: Yahoo returned no data | 210730.BO: Yahoo returned no data
BSE,STOCK,ASAL,Automotive Stampings & Assemblies,,520119,B,ASAL.BO,,,0,,ASAL.BO: Only 2 rows; minimum is 30 | 520119.BO: Yahoo returned no data
