trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,regime
13,8,5,61.53846153846154,1.8520795198113071,2.002079519811307,4.658257268473864,-2.6378048780487844,2.8255356154589464,1.8520795198113071,25.902164472790457,-7.683399239939015,3.230769230769231,7,5,1,CURRENT,BULL
75,36,39,48.0,0.9604518211676397,1.1104518211676395,4.779436745343692,-2.564765031917949,1.720152805433983,0.9604518211676397,94.69900517222429,-25.3923667938597,3.466666666666667,34,38,3,CURRENT,BEAR
38,16,22,42.10526315789473,0.23124833233818134,0.3812483323381814,4.170098935644644,-2.633370288248337,1.1516797464669246,0.23124833233818134,6.721402440472346,-24.404325995703367,3.210526315789474,12,22,4,CURRENT,NEUTRAL
13,8,5,61.53846153846154,1.8520795198113071,2.002079519811307,4.658257268473864,-2.6378048780487844,2.8255356154589464,1.8520795198113071,25.902164472790457,-7.683399239939015,3.230769230769231,7,5,1,CURRENT_REGIME,BULL
75,36,39,48.0,0.9604518211676397,1.1104518211676395,4.779436745343692,-2.564765031917949,1.720152805433983,0.9604518211676397,94.69900517222429,-25.3923667938597,3.466666666666667,34,38,3,CURRENT_REGIME,BEAR
21,10,11,47.61904761904761,0.9715538847117754,1.1215538847117752,4.955263157894737,-2.650000000000008,1.6999187505642273,0.9715538847117754,20.70755637188768,-10.186044534493755,3.142857142857143,10,11,0,EMA_MACD,BULL
113,51,62,45.13274336283185,0.7378085597193901,0.88780855971939,4.815670519933011,-2.616561762391814,1.5139246549065504,0.7378085597193901,112.53240215723625,-27.096086544977418,3.9557522123893807,49,62,2,EMA_MACD,BEAR
60,20,40,33.33333333333333,-0.27831631012739116,-0.12831631012739106,4.213939864159793,-2.5244443972709836,0.8346271893956579,-0.27831631012739116,-18.059642346013373,-29.044341004355434,3.3333333333333335,15,38,7,EMA_MACD,NEUTRAL
5,2,3,40.0,0.40263157894737117,0.5526315789473712,4.9815789473684315,-2.650000000000002,1.2532274081430006,0.40263157894737117,1.6794962852949125,-7.741185962499985,3.6,2,3,0,EMA_MACD,UNKNOWN
21,10,11,47.61904761904761,0.9715538847117754,1.1215538847117752,4.955263157894737,-2.650000000000008,1.6999187505642273,0.9715538847117754,20.70755637188768,-10.186044534493755,3.142857142857143,10,11,0,EMA_MACD_REGIME,BULL
113,51,62,45.13274336283185,0.7378085597193901,0.88780855971939,4.815670519933011,-2.616561762391814,1.5139246549065504,0.7378085597193901,112.53240215723625,-27.096086544977418,3.9557522123893807,49,62,2,EMA_MACD_REGIME,BEAR
