exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,ACCPL,Accretion Pharmaceuticals,,213326,NT,ACCPL.BO
BSE,STOCK,ACCURACY,Accuracy Shipping,,544598,T,ACCURACY.BO
BSE,STOCK,ACE,Action Construction Equipment,,532762,A,ACE.BO
BSE,STOCK,ACEALPHA,Ace Alpha Tech,,544431,M,ACEALPHA.BO
BSE,STOCK,ACEENGITEC,Ace Engitech,,530669,XT,ACEENGITEC.BO
BSE,STOCK,ACEINTEG,Ace Integrated Solutions,,205354,NS,ACEINTEG.BO
BSE,STOCK,ACEMEN,Ace Men Engg Works,,539661,X,ACEMEN.BO
BSE,STOCK,ACESOFT,Ace Software Exports,,531525,XT,ACESOFT.BO
BSE,STOCK,ACETEC,Acetech E-Commerce,,215870,NS,ACETEC.BO
BSE,STOCK,ACFL,Apex Capital & Finance,,541133,XT,ACFL.BO
BSE,STOCK,ACFSL,Amrapali Capital & Finance Services,,536737,MT,ACFSL.BO
BSE,STOCK,ACGL,Automobile Corporation of Goa,,505036,B,ACGL.BO
BSE,STOCK,ACHYUT,Achyut Healthcare,,543499,T,ACHYUT.BO
BSE,STOCK,ACI,Archean Chemical Industries,,543657,A,ACI.BO
BSE,STOCK,ACIIN,ACI Infocom,,517356,XT,ACIIN.BO
BSE,STOCK,ACKNIT,Acknit Industries,,530043,X,ACKNIT.BO
BSE,STOCK,ACL,Andhra Cements,,532141,B,ACL.BO
BSE,STOCK,ACLD,Aelea Commodities,,544213,M,ACLD.BO
BSE,STOCK,ACME,Acme Resources,,539391,Z,ACME.BO
BSE,STOCK,ACMESOLAR,ACME Solar Holdings,,544283,A,ACMESOLAR.BO
BSE,STOCK,ACML,Aditya Consumer Marketing,,540146,M,ACML.BO
BSE,STOCK,ACROW,Acrow,,513149,X,ACROW.BO
BSE,STOCK,ACSTECH,ACS Technologies,,530745,T,ACSTECH.BO
BSE,STOCK,ACTIVE,Active Clothing Co,,541144,B,ACTIVE.BO
BSE,STOCK,ACTIVEINFR,Active Infrastructures,,213173,NS,ACTIVEINFR.BO
BSE,STOCK,ACUTAAS,Acutaas Chemicals,,543349,A,ACUTAAS.BO
BSE,STOCK,ADANIENSOL,Adani Energy Solutions,,539254,A,ADANIENSOL.BO
BSE,STOCK,ADANIENT,Adani Enterprises,,512599,A,ADANIENT.BO
BSE,STOCK,ADANIGREEN,Adani Green Energy,,541450,A,ADANIGREEN.BO
BSE,STOCK,ADANIPORTS,Adani Ports & SEZ,,532921,A,ADANIPORTS.BO
BSE,STOCK,ADANIPOWER,Adani Power,,533096,A,ADANIPOWER.BO
BSE,STOCK,ADARSHPL,Adarsh Plant Protect,,526711,X,ADARSHPL.BO
BSE,STOCK,ADCINDIA,ADC India Communications,,523411,XT,ADCINDIA.BO
BSE,STOCK,ADCON,Adcon Capital Services,,539506,XT,ADCON.BO
BSE,STOCK,ADCOUNTY,Adcounty Media,,544435,M,ADCOUNTY.BO
BSE,STOCK,ADDICTIVE,Addictive Learning Technology,,211066,NS,ADDICTIVE.BO
BSE,STOCK,ADDIND,Addi Industries,,507852,B,ADDIND.BO
BSE,STOCK,ADESHWAR,Adeshwar Meditex,,543309,M,ADESHWAR.BO
BSE,STOCK,ADFFOODS,ADF Foods,,519183,B,ADFFOODS.BO
BSE,STOCK,ADHBHUTIN,Adhbhut Infrastructure,,539189,X,ADHBHUTIN.BO
BSE,STOCK,ADHHATA,Adhata Global,,531286,X,ADHHATA.BO
BSE,STOCK,ADINATH,Adinath Textiles,,514113,X,ADINATH.BO
BSE,STOCK,ADISHAKTI,Adishakti Loha & Ispat,,543377,M,ADISHAKTI.BO
BSE,STOCK,ADISOFT,Adisoft Technologies,,216223,NS,ADISOFT.BO
BSE,STOCK,ADITYA,Aditya Ispat,,513513,X,ADITYA.BO
BSE,STOCK,ADITYASP,Aditya Spinners,,521141,X,ADITYASP.BO
BSE,STOCK,ADL,Archidply Decor,,543231,B,ADL.BO
BSE,STOCK,ADLINE,Adline Chem Lab,,524604,P,ADLINE.BO
BSE,STOCK,ADMACH,Admach Systems,,544669,MT,ADMACH.BO
BSE,STOCK,ADMANUM,Ad-Manum Finance,,511359,X,ADMANUM.BO
BSE,STOCK,ADON,Adon Agro Commodities,,544809,M,ADON.BO
BSE,STOCK,ADOR,Ador Welding,,517041,B,ADOR.BO
BSE,STOCK,ADROITINFO,Adroit Infotech,,532172,B,ADROITINFO.BO
BSE,STOCK,ADSL,Allied Digital Services,,532875,B,ADSL.BO
BSE,STOCK,ADTECH,ADTECH,,544185,X,ADTECH.BO
BSE,STOCK,ADVAIT,Advait Energy Transitions,,543230,B,ADVAIT.BO
BSE,STOCK,ADVANCE,Advance Agrolife,,544562,B,ADVANCE.BO
BSE,STOCK,ADVANCETL,Advance Technoforge,,544843,M,ADVANCETL.BO
