trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,experiment,exchange,symbol
9,3,6,33.33333333333333,-0.2663474087306955,-0.11634740873069561,4.460307367303842,-2.629674796747964,0.8480720454140875,-0.2663474087306955,-2.8639872703028257,-7.625576322404792,4.222222222222222,2,6,1,EMA_MACD,BSE,ADANIPOWER
4,2,2,50.0,1.0999999999999956,1.2499999999999956,4.850000000000004,-2.6500000000000132,1.8301886792452755,1.0999999999999956,4.18586008675621,-5.229775000000025,2.5,2,2,0,EMA_MACD,BSE,ASTERDM
2,1,1,50.0,1.100000000000001,1.250000000000001,4.850000000000004,-2.650000000000002,1.830188679245283,1.100000000000001,2.0714750000000004,0.0,2.5,1,1,0,EMA_MACD,BSE,AYE
9,2,7,22.22222222222222,-0.9274443994667807,-0.7774443994667807,3.8957013893061223,-2.3054860534018955,0.4827864988206544,-0.9274443994667807,-8.346236237336313,-10.206290481582947,5.888888888888889,1,6,2,EMA_MACD,BSE,BAJFINANCE
14,5,9,35.714285714285715,0.13126719237116907,0.28126719237116915,5.11315789473684,-2.6364498644986485,1.077450139714294,0.13126719237116907,0.891108929770934,-8.037916919945843,3.0714285714285716,5,9,0,EMA_MACD,BSE,CGCL
11,3,8,27.27272727272727,-1.3298159141072405,-1.1798159141072404,1.705542497044412,-2.46807531828911,0.25914056659948914,-1.3298159141072405,-13.92665592720177,-11.583621907757347,6.363636363636363,1,7,3,EMA_MACD,BSE,COALINDIA
10,3,7,30.0,-0.35539152759948334,-0.20539152759948331,4.937719298245622,-2.6238675958188145,0.806506173141507,-0.35539152759948334,-4.068451289870135,-6.074151308177001,2.7,3,7,0,EMA_MACD,BSE,CUPID
11,3,8,27.27272727272727,-0.5639922978177123,-0.4139922978177124,4.937719298245614,-2.6271341463414597,0.7048154504864935,-0.5639922978177123,-6.610637330688585,-10.36272811728437,3.3636363636363638,3,8,0,EMA_MACD,BSE,EPL
8,4,4,50.0,1.1886553273427554,1.3386553273427555,4.9815789473684315,-2.604268292682921,1.9128516679195144,1.1886553273427554,9.297611635847169,-7.625576322404804,3.875,4,4,0,EMA_MACD,BSE,ETERNAL
8,3,5,37.5,-0.08416966492330291,0.06583033507669694,4.131238617115083,-2.6134146341463347,0.9484691552126113,-0.08416966492330291,-1.1045459160133775,-8.153200909574544,5.125,2,5,1,EMA_MACD,BSE,GMRAIRPORT
4,1,3,25.0,-0.2442365299137549,-0.09423652991375486,4.850000000000004,-1.9423153732183414,0.8323399428116115,-0.2442365299137549,-1.155744019055649,-3.2223418035817186,2.25,1,2,1,EMA_MACD,BSE,GROWW
5,1,4,20.0,-1.1134146341463358,-0.9634146341463354,4.850000000000004,-2.604268292682921,0.46558183095293987,-1.1134146341463358,-5.65300555683057,-7.625576322404804,1.4,1,4,0,EMA_MACD,BSE,HINDCOPPER
10,4,6,40.0,0.21126792104630882,0.36126792104630884,4.042341421675011,-2.3427810793728256,1.1502970998204025,0.21126792104630882,1.5622565478489614,-10.908589940795455,4.5,3,5,2,EMA_MACD,BSE,ICICIPRULI
8,3,5,37.5,0.2182605905006435,0.3682605905006437,4.937719298245614,-2.613414634146339,1.1336247758921345,0.2182605905006435,1.2254098902158672,-5.712063229529329,6.625,3,5,0,EMA_MACD,BSE,IDFCFIRSTB
10,3,7,30.0,-0.5756976334850548,-0.4256976334850549,4.183040408708345,-2.615156794425083,0.6855159153569078,-0.5756976334850548,-6.086928245252288,-12.456550838289726,5.4,2,7,1,EMA_MACD,BSE,INFY
9,6,3,66.66666666666666,2.502973898160038,2.652973898160038,5.069298245614042,-2.62967479674797,3.855456387141918,2.502973898160038,24.203449615933593,-5.170415243902449,4.111111111111111,6,3,0,EMA_MACD,BSE,INOXWIND
12,4,8,33.33333333333333,-0.351797235224796,-0.201797235224796,4.198876587008549,-2.6271341463414686,0.7991363122541495,-0.351797235224796,-4.759334744269317,-10.930507706903803,4.666666666666667,3,8,1,EMA_MACD,BSE,IOC
7,4,3,57.14285714285714,1.7572070419952321,1.9072070419952323,5.047368421052634,-2.62967479674797,2.559185101414844,1.7572070419952321,12.4137642362534,-2.650000000000008,4.142857142857143,4,3,0,EMA_MACD,BSE,IXIGO
15,5,10,33.33333333333333,-0.21182434379265877,-0.061824343792658706,4.603551358865922,-2.619512195121949,0.8787039372137009,-0.21182434379265877,-3.9731038514290495,-14.997347286926544,4.8,4,10,1,EMA_MACD,BSE,JIOFIN
13,4,9,30.76923076923077,-0.6661297477343899,-0.5161297477343901,3.7366027101071344,-2.6228997289972895,0.633158903195299,-0.6661297477343899,-8.896545973138071,-12.456550838289736,4.230769230769231,3,9,1,EMA_MACD,BSE,JSWENERGY
7,4,3,57.14285714285714,1.719613057032826,1.8696130570328262,4.98157894736842,-2.629674796747966,2.525827631375549,1.719613057032826,12.132328780137769,-2.649999999999997,1.5714285714285714,4,3,0,EMA_MACD,BSE,KALYANKJIL
4,1,3,25.0,-0.7597560975609706,-0.6097560975609706,4.850000000000004,-2.629674796747962,0.6147781728242405,-0.7597560975609706,-3.2060441030760445,-7.683399239939003,4.25,1,3,0,EMA_MACD,BSE,LENSKART
7,4,3,57.14285714285714,1.7283238584265628,1.8783238584265622,4.9815789473684315,-2.6093495934959297,2.545502250719503,1.7283238584265628,12.202563367921492,-5.111018307555004,2.857142857142857,4,3,0,EMA_MACD,BSE,LLOYDSENGG
5,1,4,20.0,-1.1378048780487813,-0.9878048780487813,4.850000000000004,-2.634756097560978,0.460194399444573,-1.1378048780487813,-5.771083934344534,-7.741185962500008,2.6,1,4,0,EMA_MACD,BSE,MAHABANK
2,0,2,0.0,-2.6500000000000075,-2.500000000000008,0.0,-2.6500000000000075,0.0,-2.6500000000000075,-5.229775000000004,-2.650000000000008,2.0,0,2,0,EMA_MACD,BSE,MEESHO
5,1,4,20.0,-1.137804878048779,-0.9878048780487789,4.850000000000004,-2.6347560975609747,0.4601943994445736,-1.137804878048779,-5.771083934344523,-7.741185962499985,2.6,1,4,0,EMA_MACD,BSE,MOTHERSON
20,5,15,25.0,-0.7211472023456277,-0.5711472023456277,4.521658294124694,-2.4687490345024012,0.610519502108359,-0.7211472023456277,-14.292800387366478,-19.708123101810337,3.85,4,14,2,EMA_MACD,BSE,NMDC
6,1,5,16.666666666666664,-1.389837398373981,-1.2398373983739812,4.850000000000004,-2.637804878048778,0.36773000462320915,-1.389837398373981,-8.268150210084391,-7.683399239938993,2.6666666666666665,1,5,0,EMA_MACD,BSE,NORTHARC
5,2,3,40.0,0.7324844925683095,0.8824844925683095,3.229877582249424,-0.9324442338857669,2.3092552275500577,0.7324844925683095,3.5804644316159484,-1.0853730164826048,10.6,1,0,4,EMA_MACD,BSE,NTPC
14,4,10,28.57142857142857,-0.4434164679992642,-0.29341646799926424,4.98157894736842,-2.613414634146338,0.762462853353637,-0.4434164679992642,-6.794354517014767,-17.19808669802235,4.142857142857143,4,10,0,EMA_MACD,BSE,PFC
5,2,3,40.0,0.4392169448010342,0.5892169448010343,4.9815789473684315,-2.589024390243897,1.282742891142133,0.4392169448010342,1.8706782105673225,-5.111018307555004,1.4,2,3,0,EMA_MACD,BSE,PINELABS
1,1,0,100.0,4.850000000000004,5.000000000000004,4.850000000000004,0.0,inf,4.850000000000004,4.849999999999999,0.0,2.0,1,0,0,EMA_MACD,BSE,PWL
8,3,5,37.5,0.0904687752017505,0.2404687752017507,3.808731190535965,-2.140488673998778,1.067624763485613,0.0904687752017505,0.3363205264441227,-5.111018307555004,6.0,2,4,2,EMA_MACD,BSE,RELIANCE
2,0,2,0.0,-2.6500000000000075,-2.500000000000008,0.0,-2.6500000000000075,0.0,-2.6500000000000075,-5.229775000000004,-2.649999999999997,2.5,0,2,0,EMA_MACD,BSE,RUBICON
16,3,13,18.75,-1.220884146341461,-1.0708841463414611,4.850000000000004,-2.621857410881799,0.4268846828151282,-1.220884146341461,-18.39733291182367,-25.772047050273162,2.3125,3,13,0,EMA_MACD,BSE,SAMMAANCAP
17,3,14,17.647058823529413,-1.2704032318960956,-1.1204032318960955,5.025438596491233,-2.6195121951219518,0.41109932652861236,-1.2704032318960956,-20.11052922244483,-17.93582868253193,3.411764705882353,3,14,0,EMA_MACD,BSE,SBFC
6,2,4,33.33333333333333,-1.1890138387397642,-1.0390138387397645,1.7024706789026625,-2.634756097560978,0.32307936975241425,-1.1890138387397642,-7.045846321634775,-7.6833992399390265,8.166666666666666,0,4,2,EMA_MACD,BSE,SBIN
