exchange,instrument_type,symbol,name,isin,series,data_symbol
NSE,STOCK,20MICRONS,20 Microns Limited,INE144J01027,EQ,20MICRONS.NS
NSE,STOCK,21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ,21STCENMGM.NS
NSE,STOCK,360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,360ONE.NS
NSE,STOCK,3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ,3BBLACKBIO.NS
NSE,STOCK,3IINFOLTD,3i Infotech Limited,INE748C01038,BE,3IINFOLTD.NS
NSE,STOCK,3MINDIA,3M India Limited,INE470A01017,EQ,3MINDIA.NS
NSE,STOCK,3PLAND,3P Land Holdings Limited,INE105C01023,EQ,3PLAND.NS
NSE,STOCK,5PAISA,5Paisa Capital Limited,INE618L01018,EQ,5PAISA.NS
NSE,STOCK,63MOONS,63 moons technologies limited,INE111B01023,EQ,63MOONS.NS
NSE,STOCK,A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ,A2ZINFRA.NS
NSE,STOCK,AAATECH,AAA Technologies Limited,INE0D0U01013,EQ,AAATECH.NS
NSE,STOCK,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ,AADHARHFC.NS
NSE,STOCK,AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ,AAKASH.NS
NSE,STOCK,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,EQ,AAREYDRUGS.NS
NSE,STOCK,AARNAV,Aarnav Fashions Limited,INE750R01016,BE,AARNAV.NS
NSE,STOCK,AARON,Aaron Industries Limited,INE721Z01010,EQ,AARON.NS
NSE,STOCK,AARTECH,Aartech Solonics Limited,INE01C001026,BE,AARTECH.NS
NSE,STOCK,AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,AARTIDRUGS.NS
NSE,STOCK,AARTIIND,Aarti Industries Limited,INE769A01020,EQ,AARTIIND.NS
NSE,STOCK,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,AARTIPHARM.NS
NSE,STOCK,AARTISURF,Aarti Surfactants Limited,INE09EO01013,BE,AARTISURF.NS
NSE,STOCK,AARVI,Aarvi Encon Limited,INE754X01016,EQ,AARVI.NS
