exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,scan_status,signal,signal_date,entry,stop_loss,target,risk,reward,risk_reward,rsi,ema_5,ema_13,ema_26,macd,macd_signal,volume_ratio,scan_error,ema_score,macd_score,rsi_score,volume_score,extension_score,freshness_score,rr_score,quality_score,quality,rank
NSE,STOCK,GRAVITA,Gravita India Limited,INE024L01027,,EQ,GRAVITA.NS,SIGNAL,SHORT,2026-09-04 00:00:00,1661.5999755859375,1703.1399749755858,1578.5199768066404,41.5399993896483,83.07999877929706,2.000000000000011,34.318501234577695,1721.763391604487,1761.005908668061,1764.5571060478692,-5.424504125308431,12.415374062859716,2.3001466799057884,,20.0,15.0,14.0,11.0,6.0,10.0,9.0,85.0,STRONG,1
NSE,STOCK,SPLPETRO,Supreme Petrochem Limited,INE663A01033,,EQ,SPLPETRO.NS,SIGNAL,LONG,2026-09-04 00:00:00,771.0499877929688,751.7737380981445,809.6024871826172,19.276249694824287,38.55249938964846,1.999999999999994,66.93763611993458,736.3582039037209,721.1417525647316,716.8529028930095,5.183785680011738,-0.9220657183265886,7.520419110479396,,20.0,15.0,14.0,15.0,4.0,10.0,5.0,83.0,STRONG,2
NSE,STOCK,WOCKPHARMA,Wockhardt Limited,INE049B01025,,EQ,WOCKPHARMA.NS,SIGNAL,LONG,2026-09-04 00:00:00,2088.699951171875,2036.482452392578,2193.1349487304688,52.21749877929688,104.43499755859376,2.0,64.20101560359572,1973.1244781438156,1933.980652672152,1922.9586095713505,13.191022669168206,-1.4415267367281066,4.179363274437566,,20.0,15.0,14.0,13.0,2.0,10.0,9.0,83.0,STRONG,3
NSE,STOCK,POLYCAB,Polycab India Limited,INE455K01017,,EQ,POLYCAB.NS,SIGNAL,SHORT,2026-09-04 00:00:00,8300.0,8507.5,7885.0,207.5,415.0,2.0,30.803084556066068,8724.78428698821,8933.986296377423,9046.996014978402,-127.47033686502256,-62.95137291238059,4.301153934768512,,20.0,15.0,12.0,13.0,4.0,10.0,9.0,83.0,STRONG,4
NSE,STOCK,SKIPPER,Skipper Limited,INE439E01022,,EQ,SKIPPER.NS,SIGNAL,LONG,2026-09-04 00:00:00,591.0999755859375,576.322476196289,620.6549743652344,14.777499389648485,29.55499877929685,1.999999999999992,64.68023409344454,559.1940631503104,551.129207861276,546.806776336749,4.892161915181191,2.5977954921913207,7.4269433694062466,,20.0,14.0,14.0,15.0,2.0,10.0,5.0,80.0,STRONG,5
NSE,STOCK,HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,,EQ,HDFCAMC.NS,SIGNAL,SHORT,2026-09-04 00:00:00,2458.300048828125,2519.757550048828,2335.385046386719,61.45750122070285,122.91500244140616,2.0000000000000075,38.58341589215868,2518.208200804296,2553.051200039748,2566.258559238317,-15.033576940321382,-4.136751903535922,0.9417099306726426,,18.79,15.0,15.0,4.0,8.0,10.0,9.0,79.79,GOOD,6
NSE,STOCK,PAISALO,Paisalo Digital Limited,INE420C01059,,EQ,PAISALO.NS,SIGNAL,LONG,2026-09-04 00:00:00,74.0999984741211,72.24749851226807,77.80499839782715,1.8524999618530276,3.704999923706055,2.0,67.74709749114366,70.21255842283176,69.22650753497147,69.09688890432955,0.1564142247041786,-0.152493468703641,3.268435505136956,,16.12,15.0,14.0,13.0,2.0,10.0,9.0,79.12,GOOD,7
NSE,STOCK,TNPL,Tamil Nadu Newsprint & Papers Limited,INE107A01015,,EQ,TNPL.NS,SIGNAL,LONG,2026-09-04 00:00:00,155.75,151.85625,163.5375,3.8937500000000114,7.787499999999994,1.999999999999993,64.31801188346698,150.37552699907144,146.70364102034898,146.27459780358885,0.5938512651605095,-0.993159504529006,1.1743917925539376,,20.0,15.0,14.0,7.0,6.0,10.0,5.0,77.0,GOOD,8
NSE,STOCK,KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,INE641C01019,,EQ,KAVDEFENCE.NS,SIGNAL,LONG,2026-09-04 00:00:00,67.13999938964844,65.46149940490723,70.49699935913087,1.678499984741208,3.3569999694824304,2.0000000000000084,72.95905941196062,59.89190525496955,58.35554615406436,58.22694590649449,0.1969601559885561,-0.4275282109183821,7.840757232507877,,20.0,15.0,8.0,15.0,0.0,10.0,9.0,77.0,GOOD,9
NSE,STOCK,GOPAL,Gopal Snacks Limited,INE0L9R01028,,EQ,GOPAL.NS,SIGNAL,SHORT,2026-09-03 00:00:00,265.3999938964844,272.03499374389645,252.1299942016601,6.634999847412075,13.269999694824236,2.000000000000013,39.58435772383479,269.7691619433661,273.9318553055537,274.31508121776534,-0.574739921155242,1.337569540528729,0.2545282114323778,,16.59,15.0,15.0,0.0,9.0,10.0,9.0,74.59,GOOD,10
