variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
BASE_CURRENT,LONG,2026-06-18,2026-06-19,2026-06-19,113.44999694824219,110.61374702453612,119.1224967956543,119.1224967956543,TARGET,1,5.000000000000003,4.850000000000002,BEAR,61.096726293360476,3.3022564041895297,PWL,BSE,PWL.BO
EMA_MACD,LONG,2026-06-16,2026-06-17,2026-06-18,109.25,106.51875,114.7125,114.7125,TARGET,2,5.000000000000005,4.850000000000005,BEAR,54.22241280700663,1.5563660041198186,PWL,BSE,PWL.BO
RSI_ZONE,LONG,2026-06-18,2026-06-19,2026-06-19,113.44999694824219,110.61374702453612,119.1224967956543,119.1224967956543,TARGET,1,5.000000000000003,4.850000000000002,BEAR,61.096726293360476,3.3022564041895297,PWL,BSE,PWL.BO
RSI_ZONE_NO_NEUTRAL,LONG,2026-06-18,2026-06-19,2026-06-19,113.44999694824219,110.61374702453612,119.1224967956543,119.1224967956543,TARGET,1,5.000000000000003,4.850000000000002,BEAR,61.096726293360476,3.3022564041895297,PWL,BSE,PWL.BO
BASE_CURRENT,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
BASE_CURRENT,LONG,2025-08-14,2025-08-18,2025-08-26,831.3499755859375,810.566226196289,872.9174743652344,810.566226196289,STOP_LOSS,7,-2.500000000000008,-2.650000000000008,NEUTRAL,62.620449001349805,0.8316399444394804,SBIN,BSE,500112.BO
BASE_CURRENT,LONG,2025-09-11,2025-09-12,2025-09-22,824.9000244140625,804.2775238037109,866.1450256347657,866.1450256347657,TARGET,7,5.000000000000011,4.85000000000001,NEUTRAL,60.735201036384886,0.9811961945470224,SBIN,BSE,500112.BO
BASE_CURRENT,SHORT,2026-05-08,2026-05-11,2026-05-15,1009.9500122070312,1035.198762512207,959.4525115966796,959.4525115966796,TARGET,5,5.000000000000004,4.850000000000004,BEAR,38.023293310435825,4.0646058884032685,SBIN,BSE,500112.BO
EMA_MACD,LONG,2024-10-29,2024-10-30,2024-11-04,830.0,809.25,871.5,809.25,STOP_LOSS,4,-2.5,-2.65,NEUTRAL,50.793826486585345,3.386577149416856,SBIN,BSE,500112.BO
EMA_MACD,LONG,2024-11-27,2024-11-29,2024-12-13,842.0,820.9499999999999,884.1,861.7000122070312,TIME_EXIT,11,2.339668908198486,2.189668908198486,NEUTRAL,52.156374320390036,0.6519653962722741,SBIN,BSE,500112.BO
